"bettenBelegtToBettenGesamtPercent","bettenFreiToBettenGesamtPercent",bundesland,"covidToIntensivBettenPercent",creationTimestamp,faelleCovidAktuell,"faelleCovidAktuellBeatmet","faelleCovidAktuellBeatmetToCovidAktuellPercent",intensivBettenBelegt,intensivBettenFrei,intensivBettenGesamt,intensivBettenNotfall7d,meldebereichAnz
75.0,25.0,SCHLESWIG_HOLSTEIN,9.59,2021-01-18T17:19:08Z,74,42,56.76,579,193,772,482,39
80.12,19.88,HAMBURG,14.57,2021-01-18T17:19:08Z,96,53,55.21,528,131,659,336,34
78.03,21.97,NIEDERSACHSEN,12.65,2021-01-18T17:19:08Z,277,149,53.79,1708,481,2189,1016,153
84.42,15.58,BREMEN,11.26,2021-01-18T17:19:08Z,26,17,65.38,195,36,231,150,14
84.01,15.99,NORDRHEIN_WESTFALEN,14.23,2021-01-18T17:19:08Z,921,543,58.96,5437,1035,6472,2460,406
84.88,15.12,HESSEN,21.22,2021-01-18T17:19:08Z,442,238,53.85,1768,315,2083,826,117
76.16,23.84,RHEINLAND_PFALZ,16.34,2021-01-18T17:19:08Z,198,106,53.54,923,289,1212,436,94
83.56,16.44,BADEN_WUERTTEMBERG,18.21,2021-01-18T17:19:08Z,524,304,58.02,2405,473,2878,1373,183
82.89,17.11,BAYERN,20.53,2021-01-18T17:19:08Z,792,460,58.08,3197,660,3857,1129,269
80.77,19.23,SAARLAND,17.88,2021-01-18T17:19:08Z,93,43,46.24,420,100,520,239,24
85.18,14.82,BERLIN,29.57,2021-01-18T17:19:08Z,385,273,70.91,1109,193,1302,382,64
80.7,19.3,BRANDENBURG,29.2,2021-01-18T17:19:08Z,224,98,43.75,619,148,767,333,56
78.24,21.76,MECKLENBURG_VORPOMMERN,14.09,2021-01-18T17:19:08Z,101,42,41.58,561,156,717,225,42
76.87,23.13,SACHSEN,29.43,2021-01-18T17:19:08Z,477,275,57.65,1246,375,1621,624,94
84.74,15.26,SACHSEN_ANHALT,21.3,2021-01-18T17:19:08Z,194,115,59.28,772,139,911,342,55
83.27,16.73,THUERINGEN,23.27,2021-01-18T17:19:08Z,185,110,59.46,662,133,795,357,45
