bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,1,2,7,33,2022-05-02 10:19:56+00:00,30,3
01,01002,7,9,2,3,37,108,2022-05-02 10:19:56+00:00,91,31
01,01003,3,7,2,2,6,119,2022-05-02 10:19:56+00:00,98,3
01,01004,1,0,0,1,3,22,2022-05-02 10:19:56+00:00,22,3
01,01051,1,1,0,1,5,32,2022-05-02 10:19:56+00:00,32,5
01,01053,2,0,0,2,9,9,2022-05-02 10:19:56+00:00,9,9
01,01054,3,0,0,3,12,12,2022-05-02 10:19:56+00:00,12,12
01,01055,3,1,0,3,9,39,2022-05-02 10:19:56+00:00,39,9
01,01056,2,0,0,2,9,26,2022-05-02 10:19:56+00:00,26,9
01,01057,1,0,0,1,4,8,2022-05-02 10:19:56+00:00,8,4
01,01058,5,1,0,3,12,29,2022-05-02 10:19:56+00:00,27,8
01,01059,1,2,1,1,0,24,2022-05-02 10:19:56+00:00,24,0
01,01060,3,1,1,3,24,57,2022-05-02 10:19:56+00:00,57,24
01,01061,3,2,1,1,14,29,2022-05-02 10:19:56+00:00,20,10
01,01062,3,2,2,3,6,22,2022-05-02 10:19:56+00:00,22,6
02,02000,34,30,12,24,109,464,2022-05-02 10:19:56+00:00,395,72
03,03101,7,1,0,5,33,99,2022-05-02 10:19:56+00:00,84,31
03,03102,2,2,0,2,5,23,2022-05-02 10:19:56+00:00,23,5
03,03103,3,2,2,1,6,23,2022-05-02 10:19:56+00:00,16,4
03,03151,1,3,1,1,0,12,2022-05-02 10:19:56+00:00,12,0
03,03153,3,2,2,3,0,22,2022-05-02 10:19:56+00:00,22,0
03,03154,1,1,0,1,0,14,2022-05-02 10:19:56+00:00,14,0
03,03155,2,2,0,2,4,16,2022-05-02 10:19:56+00:00,16,4
03,03157,1,0,0,1,0,12,2022-05-02 10:19:56+00:00,12,0
03,03158,1,1,1,1,3,13,2022-05-02 10:19:56+00:00,13,3
03,03159,8,13,3,7,24,110,2022-05-02 10:19:56+00:00,99,19
03,03241,16,14,4,15,49,184,2022-05-02 10:19:56+00:00,167,46
03,03251,3,0,0,3,4,14,2022-05-02 10:19:56+00:00,14,4
03,03252,6,0,0,4,13,54,2022-05-02 10:19:56+00:00,54,7
03,03254,7,3,1,4,22,52,2022-05-02 10:19:56+00:00,47,16
03,03255,1,0,0,1,6,8,2022-05-02 10:19:56+00:00,8,6
03,03256,1,0,0,1,5,11,2022-05-02 10:19:56+00:00,11,5
03,03257,1,1,1,1,0,24,2022-05-02 10:19:56+00:00,24,0
03,03351,2,1,1,1,14,24,2022-05-02 10:19:56+00:00,17,11
03,03352,2,1,0,2,5,7,2022-05-02 10:19:56+00:00,7,5
03,03353,3,0,0,3,4,28,2022-05-02 10:19:56+00:00,28,4
03,03354,1,0,0,1,1,5,2022-05-02 10:19:56+00:00,5,1
03,03355,3,2,1,1,9,27,2022-05-02 10:19:56+00:00,15,5
03,03356,3,2,1,2,3,7,2022-05-02 10:19:56+00:00,7,3
03,03357,3,1,1,2,6,24,2022-05-02 10:19:56+00:00,23,3
03,03358,2,1,0,2,7,15,2022-05-02 10:19:56+00:00,15,7
03,03359,3,3,2,2,5,20,2022-05-02 10:19:56+00:00,20,2
03,03360,2,1,1,2,5,71,2022-05-02 10:19:56+00:00,71,5
03,03361,2,0,0,2,0,15,2022-05-02 10:19:56+00:00,15,0
03,03401,1,0,0,1,10,9,2022-05-02 10:19:56+00:00,9,10
03,03402,1,1,0,1,1,12,2022-05-02 10:19:56+00:00,12,1
03,03403,6,3,2,3,9,99,2022-05-02 10:19:56+00:00,83,8
03,03404,5,2,0,4,24,92,2022-05-02 10:19:56+00:00,79,21
03,03405,2,1,0,1,8,18,2022-05-02 10:19:56+00:00,16,2
03,03451,3,2,1,2,5,25,2022-05-02 10:19:56+00:00,25,5
03,03452,4,5,1,3,4,35,2022-05-02 10:19:56+00:00,29,2
03,03453,3,1,0,3,8,16,2022-05-02 10:19:56+00:00,16,8
03,03454,10,2,1,6,22,65,2022-05-02 10:19:56+00:00,54,9
03,03455,2,1,0,2,5,26,2022-05-02 10:19:56+00:00,26,5
03,03456,1,2,0,1,2,25,2022-05-02 10:19:56+00:00,25,2
03,03457,6,0,0,4,10,17,2022-05-02 10:19:56+00:00,14,8
03,03458,1,0,0,1,4,6,2022-05-02 10:19:56+00:00,6,4
03,03459,7,2,0,6,17,80,2022-05-02 10:19:56+00:00,80,17
03,03460,5,1,1,3,20,16,2022-05-02 10:19:56+00:00,14,14
03,03461,2,2,0,2,5,8,2022-05-02 10:19:56+00:00,8,5
03,03462,1,0,0,1,0,8,2022-05-02 10:19:56+00:00,8,0
04,04011,9,8,4,8,7,139,2022-05-02 10:19:56+00:00,126,4
04,04012,4,1,0,3,10,39,2022-05-02 10:19:56+00:00,35,6
05,05111,15,12,7,11,23,273,2022-05-02 10:19:56+00:00,243,9
05,05112,15,9,2,9,29,139,2022-05-02 10:19:56+00:00,121,18
05,05113,15,17,12,12,48,310,2022-05-02 10:19:56+00:00,291,37
05,05114,7,7,3,4,11,78,2022-05-02 10:19:56+00:00,63,11
05,05116,6,3,1,4,6,83,2022-05-02 10:19:56+00:00,77,5
05,05117,2,4,1,2,3,30,2022-05-02 10:19:56+00:00,30,3
05,05119,6,2,2,4,16,55,2022-05-02 10:19:56+00:00,46,6
05,05120,1,4,0,1,5,23,2022-05-02 10:19:56+00:00,23,5
05,05122,4,7,4,3,11,61,2022-05-02 10:19:56+00:00,59,9
05,05124,7,7,2,5,21,119,2022-05-02 10:19:56+00:00,110,16
05,05154,8,6,2,5,15,55,2022-05-02 10:19:56+00:00,54,8
05,05158,6,4,1,6,20,38,2022-05-02 10:19:56+00:00,38,20
05,05162,7,2,1,5,12,89,2022-05-02 10:19:56+00:00,78,9
05,05166,4,3,1,4,7,28,2022-05-02 10:19:56+00:00,28,7
05,05170,11,12,5,8,25,104,2022-05-02 10:19:56+00:00,101,17
05,05314,17,12,8,10,18,235,2022-05-02 10:19:56+00:00,183,8
05,05315,28,10,5,18,47,319,2022-05-02 10:19:56+00:00,270,36
05,05316,5,3,1,2,16,54,2022-05-02 10:19:56+00:00,44,8
05,05334,13,14,6,7,35,236,2022-05-02 10:19:56+00:00,222,31
05,05358,6,3,2,4,10,55,2022-05-02 10:19:56+00:00,51,6
