bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,0,2,8,34,2022-01-17 11:18:49+00:00,31,4
01,01002,7,10,5,3,25,113,2022-01-17 11:18:49+00:00,94,20
01,01003,3,5,5,2,13,114,2022-01-17 11:18:49+00:00,92,11
01,01004,1,3,2,1,3,22,2022-01-17 11:18:49+00:00,22,3
01,01051,1,4,2,1,2,35,2022-01-17 11:18:49+00:00,35,2
01,01053,2,2,0,2,2,16,2022-01-17 11:18:49+00:00,16,2
01,01054,3,1,0,3,6,18,2022-01-17 11:18:49+00:00,18,6
01,01055,3,3,1,3,8,41,2022-01-17 11:18:49+00:00,41,8
01,01056,2,2,1,2,7,26,2022-01-17 11:18:49+00:00,26,7
01,01057,1,2,1,1,6,6,2022-01-17 11:18:49+00:00,6,6
01,01058,5,4,2,3,12,29,2022-01-17 11:18:49+00:00,27,8
01,01059,1,1,1,1,1,23,2022-01-17 11:18:49+00:00,23,1
01,01060,3,3,3,3,24,62,2022-01-17 11:18:49+00:00,62,24
01,01061,3,2,2,1,14,29,2022-01-17 11:18:49+00:00,21,9
01,01062,3,8,5,3,10,20,2022-01-17 11:18:49+00:00,20,10
02,02000,34,68,42,24,129,445,2022-01-17 11:18:49+00:00,390,75
03,03101,7,1,1,5,30,102,2022-01-17 11:18:49+00:00,87,28
03,03102,2,2,1,2,2,26,2022-01-17 11:18:49+00:00,26,2
03,03103,3,2,2,1,18,13,2022-01-17 11:18:49+00:00,10,12
03,03151,1,1,1,1,2,10,2022-01-17 11:18:49+00:00,10,2
03,03153,3,1,1,3,4,20,2022-01-17 11:18:49+00:00,20,4
03,03154,1,4,3,1,0,17,2022-01-17 11:18:49+00:00,17,0
03,03155,2,2,1,2,6,16,2022-01-17 11:18:49+00:00,16,6
03,03157,1,2,0,1,0,14,2022-01-17 11:18:49+00:00,14,0
03,03158,1,0,0,1,7,9,2022-01-17 11:18:49+00:00,9,7
03,03159,8,15,12,7,22,114,2022-01-17 11:18:49+00:00,101,17
03,03241,19,37,27,16,55,341,2022-01-17 11:18:49+00:00,292,48
03,03251,3,0,0,3,5,12,2022-01-17 11:18:49+00:00,12,5
03,03252,6,0,0,4,13,63,2022-01-17 11:18:49+00:00,61,9
03,03254,7,2,1,4,23,53,2022-01-17 11:18:49+00:00,49,16
03,03255,1,1,0,1,1,8,2022-01-17 11:18:49+00:00,8,1
03,03256,1,0,0,1,4,12,2022-01-17 11:18:49+00:00,12,4
03,03257,1,1,0,1,4,20,2022-01-17 11:18:49+00:00,20,4
03,03351,2,2,1,1,1,26,2022-01-17 11:18:49+00:00,17,0
03,03352,2,2,1,2,9,6,2022-01-17 11:18:49+00:00,6,9
03,03353,3,5,0,3,7,25,2022-01-17 11:18:49+00:00,25,7
03,03354,1,0,0,1,3,3,2022-01-17 11:18:49+00:00,3,3
03,03355,3,4,3,1,11,32,2022-01-17 11:18:49+00:00,21,5
03,03356,3,0,0,2,4,6,2022-01-17 11:18:49+00:00,6,4
03,03357,3,1,1,2,9,25,2022-01-17 11:18:49+00:00,22,8
03,03358,2,3,1,2,5,17,2022-01-17 11:18:49+00:00,17,5
03,03359,3,4,1,2,10,21,2022-01-17 11:18:49+00:00,21,7
03,03360,2,3,1,2,4,72,2022-01-17 11:18:49+00:00,72,4
03,03361,2,1,0,2,3,12,2022-01-17 11:18:49+00:00,12,3
03,03401,1,2,1,1,6,13,2022-01-17 11:18:49+00:00,13,6
03,03402,1,1,0,1,11,6,2022-01-17 11:18:49+00:00,6,11
03,03403,6,7,4,3,11,103,2022-01-17 11:18:49+00:00,85,7
03,03404,5,6,6,4,19,104,2022-01-17 11:18:49+00:00,90,17
03,03405,2,1,0,1,13,17,2022-01-17 11:18:49+00:00,14,8
03,03451,3,0,0,2,10,23,2022-01-17 11:18:49+00:00,23,10
03,03452,4,0,0,3,11,26,2022-01-17 11:18:49+00:00,25,4
03,03453,3,0,0,3,9,15,2022-01-17 11:18:49+00:00,15,9
03,03454,10,6,1,6,33,56,2022-01-17 11:18:49+00:00,51,14
03,03455,2,1,0,2,6,25,2022-01-17 11:18:49+00:00,25,6
03,03456,1,2,1,1,2,25,2022-01-17 11:18:49+00:00,25,2
03,03457,6,0,0,4,13,18,2022-01-17 11:18:49+00:00,17,9
03,03458,1,0,0,1,0,8,2022-01-17 11:18:49+00:00,8,0
03,03459,7,2,1,6,19,77,2022-01-17 11:18:49+00:00,77,19
03,03460,5,3,2,3,10,24,2022-01-17 11:18:49+00:00,21,5
03,03461,2,2,1,2,4,9,2022-01-17 11:18:49+00:00,9,4
03,03462,1,0,0,1,0,8,2022-01-17 11:18:49+00:00,8,0
04,04011,9,25,17,8,7,144,2022-01-17 11:18:49+00:00,131,4
04,04012,4,1,1,3,11,40,2022-01-17 11:18:49+00:00,33,8
05,05111,14,36,24,11,19,282,2022-01-17 11:18:49+00:00,255,17
05,05112,16,11,6,9,34,155,2022-01-17 11:18:49+00:00,138,23
05,05113,15,32,18,12,52,319,2022-01-17 11:18:49+00:00,300,43
05,05114,7,4,4,4,19,68,2022-01-17 11:18:49+00:00,57,15
05,05116,6,9,7,4,13,76,2022-01-17 11:18:49+00:00,70,12
05,05117,2,4,2,2,8,26,2022-01-17 11:18:49+00:00,26,8
05,05119,6,5,2,4,19,48,2022-01-17 11:18:49+00:00,38,10
05,05120,1,4,1,1,1,27,2022-01-17 11:18:49+00:00,27,1
05,05122,4,13,9,3,9,59,2022-01-17 11:18:49+00:00,55,9
05,05124,7,17,12,5,22,126,2022-01-17 11:18:49+00:00,116,18
05,05154,8,1,0,5,22,48,2022-01-17 11:18:49+00:00,48,14
05,05158,6,7,3,6,10,53,2022-01-17 11:18:49+00:00,53,10
05,05162,7,4,1,5,15,86,2022-01-17 11:18:49+00:00,75,12
05,05166,4,2,1,4,11,26,2022-01-17 11:18:49+00:00,26,11
05,05170,11,13,5,8,36,88,2022-01-17 11:18:49+00:00,85,28
05,05314,18,17,14,11,15,273,2022-01-17 11:18:49+00:00,216,10
05,05315,30,33,18,18,28,381,2022-01-17 11:18:49+00:00,329,21
05,05316,5,2,1,2,20,49,2022-01-17 11:18:49+00:00,36,15
05,05334,13,17,9,7,20,251,2022-01-17 11:18:49+00:00,236,16
05,05358,6,3,2,4,8,53,2022-01-17 11:18:49+00:00,49,4
05,05362,6,10,7,6,6,50,2022-01-17 11:18:49+00:00,50,6
05,05366,3,0,0,3,5,25,2022-01-17 11:18:49+00:00,25,5
05,05370,3,2,1,3,6,34,2022-01-17 11:18:49+00:00,34,6
05,05374,6,4,3,6,27,54,2022-01-17 11:18:49+00:00,54,27
05,05378,4,5,2,4,4,37,2022-01-17 11:18:49+00:00,37,4
05,05382,7,8,4,6,14,72,2022-01-17 11:18:49+00:00,59,12
05,05512,2,1,1,2,12,31,2022-01-17 11:18:49+00:00,31,12
05,05513,7,5,3,4,17,76,2022-01-17 11:18:49+00:00,64,8
05,05515,10,10,6,7,20,194,2022-01-17 11:18:49+00:00,181,10
05,05554,6,6,2,5,16,51,2022-01-17 11:18:49+00:00,51,14
05,05558,5,3,0,3,3,26,2022-01-17 11:18:49+00:00,16,3
05,05562,15,15,6,14,45,184,2022-01-17 11:18:49+00:00,161,36
05,05566,7,8,3,5,24,82,2022-01-17 11:18:49+00:00,69,22
05,05570,6,3,2,5,13,37,2022-01-17 11:18:49+00:00,36,10
05,05711,6,5,0,4,23,114,2022-01-17 11:18:49+00:00,91,18
05,05754,4,4,3,4,18,34,2022-01-17 11:18:49+00:00,34,18
05,05758,5,7,5,3,16,42,2022-01-17 11:18:49+00:00,36,12
05,05762,6,1,0,5,10,25,2022-01-17 11:18:49+00:00,23,8
05,05766,2,11,6,2,3,47,2022-01-17 11:18:49+00:00,47,3
05,05770,9,17,12,6,19,182,2022-01-17 11:18:49+00:00,155,19
05,05774,7,15,14,5,18,70,2022-01-17 11:18:49+00:00,62,11
05,05911,8,12,8,6,20,169,2022-01-17 11:18:49+00:00,152,16
05,05913,8,15,4,8,39,238,2022-01-17 11:18:49+00:00,238,39
05,05914,7,2,1,5,12,73,2022-01-17 11:18:49+00:00,69,7
05,05915,7,9,6,5,25,68,2022-01-17 11:18:49+00:00,56,15
05,05916,4,3,3,4,10,54,2022-01-17 11:18:49+00:00,54,10
05,05954,8,5,1,6,35,98,2022-01-17 11:18:49+00:00,69,22
05,05958,10,12,7,9,23,66,2022-01-17 11:18:49+00:00,64,21
05,05962,10,8,4,8,19,91,2022-01-17 11:18:49+00:00,85,17
05,05966,3,1,0,3,15,13,2022-01-17 11:18:49+00:00,13,15
05,05970,5,1,1,5,10,97,2022-01-17 11:18:49+00:00,97,10
