bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,1,2,6,34,2022-03-14 11:19:26+00:00,30,3
01,01002,7,6,3,3,33,107,2022-03-14 11:19:26+00:00,91,27
01,01003,3,7,3,2,16,113,2022-03-14 11:19:26+00:00,96,9
01,01004,1,3,2,1,2,23,2022-03-14 11:19:26+00:00,23,2
01,01051,1,1,1,1,8,32,2022-03-14 11:19:26+00:00,32,8
01,01053,2,1,0,2,4,14,2022-03-14 11:19:26+00:00,14,4
01,01054,3,2,1,3,9,15,2022-03-14 11:19:26+00:00,15,9
01,01055,3,1,0,3,9,39,2022-03-14 11:19:26+00:00,39,9
01,01056,2,2,1,2,4,31,2022-03-14 11:19:26+00:00,31,4
01,01057,1,0,0,1,5,7,2022-03-14 11:19:26+00:00,7,5
01,01058,5,3,2,3,11,34,2022-03-14 11:19:26+00:00,29,10
01,01059,1,4,0,1,0,24,2022-03-14 11:19:26+00:00,24,0
01,01060,3,6,1,3,22,64,2022-03-14 11:19:26+00:00,64,22
01,01061,3,4,1,1,10,33,2022-03-14 11:19:26+00:00,22,8
01,01062,3,5,1,3,9,19,2022-03-14 11:19:26+00:00,19,9
02,02000,34,40,20,24,124,445,2022-03-14 11:19:26+00:00,382,82
03,03101,7,5,2,5,32,100,2022-03-14 11:19:26+00:00,86,29
03,03102,2,4,2,2,2,27,2022-03-14 11:19:26+00:00,27,2
03,03103,3,6,2,1,7,24,2022-03-14 11:19:26+00:00,17,5
03,03151,1,3,1,1,0,12,2022-03-14 11:19:26+00:00,12,0
03,03153,3,3,1,3,5,22,2022-03-14 11:19:26+00:00,22,5
03,03154,1,4,3,1,0,17,2022-03-14 11:19:26+00:00,17,0
03,03155,2,1,0,2,6,14,2022-03-14 11:19:26+00:00,14,6
03,03157,1,4,1,1,1,15,2022-03-14 11:19:26+00:00,15,1
03,03158,1,2,1,1,4,12,2022-03-14 11:19:26+00:00,12,4
03,03159,8,13,5,7,37,111,2022-03-14 11:19:26+00:00,97,29
03,03241,19,33,18,16,65,321,2022-03-14 11:19:26+00:00,276,58
03,03251,3,0,0,3,9,8,2022-03-14 11:19:26+00:00,8,9
03,03252,6,3,1,4,18,57,2022-03-14 11:19:26+00:00,55,14
03,03254,7,8,2,4,35,40,2022-03-14 11:19:26+00:00,34,30
03,03255,1,2,0,1,0,9,2022-03-14 11:19:26+00:00,9,0
