bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,4,1,2,5,37,2022-05-03 10:19:45+00:00,34,1
01,01002,7,8,2,3,34,109,2022-05-03 10:19:45+00:00,94,26
01,01003,3,4,2,2,6,118,2022-05-03 10:19:45+00:00,97,3
01,01004,1,0,0,1,3,22,2022-05-03 10:19:45+00:00,22,3
01,01051,1,1,0,1,2,35,2022-05-03 10:19:45+00:00,35,2
01,01053,2,0,0,2,5,13,2022-05-03 10:19:45+00:00,13,5
01,01054,3,1,0,3,12,12,2022-05-03 10:19:45+00:00,12,12
01,01055,3,3,0,3,6,41,2022-05-03 10:19:45+00:00,41,6
01,01056,2,0,0,2,0,35,2022-05-03 10:19:45+00:00,35,0
01,01057,1,0,0,1,5,7,2022-05-03 10:19:45+00:00,7,5
01,01058,5,1,0,3,12,29,2022-05-03 10:19:45+00:00,27,8
01,01059,1,3,1,1,0,24,2022-05-03 10:19:45+00:00,24,0
01,01060,3,1,1,3,25,61,2022-05-03 10:19:45+00:00,61,25
01,01061,3,2,1,1,11,32,2022-05-03 10:19:45+00:00,23,7
01,01062,3,2,2,3,5,23,2022-05-03 10:19:45+00:00,23,5
02,02000,34,30,13,24,108,460,2022-05-03 10:19:45+00:00,395,67
03,03101,7,0,0,5,34,98,2022-05-03 10:19:45+00:00,85,30
03,03102,2,3,0,2,3,25,2022-05-03 10:19:45+00:00,25,3
03,03103,3,1,1,1,5,24,2022-05-03 10:19:45+00:00,18,2
03,03151,1,2,1,1,0,12,2022-05-03 10:19:45+00:00,12,0
03,03153,3,1,1,3,3,22,2022-05-03 10:19:45+00:00,22,3
03,03154,1,1,0,1,0,14,2022-05-03 10:19:45+00:00,14,0
03,03155,2,4,0,2,5,15,2022-05-03 10:19:45+00:00,15,5
03,03157,1,0,0,1,0,13,2022-05-03 10:19:45+00:00,13,0
03,03158,1,1,1,1,4,12,2022-05-03 10:19:45+00:00,12,4
03,03159,8,11,2,7,23,116,2022-05-03 10:19:45+00:00,105,18
03,03241,16,14,4,15,38,191,2022-05-03 10:19:45+00:00,171,37
03,03251,3,0,0,3,8,10,2022-05-03 10:19:45+00:00,10,8
03,03252,6,2,0,4,9,60,2022-05-03 10:19:45+00:00,60,3
03,03254,7,2,1,4,24,50,2022-05-03 10:19:45+00:00,45,18
03,03255,1,0,0,1,6,8,2022-05-03 10:19:45+00:00,8,6
03,03256,1,0,0,1,5,11,2022-05-03 10:19:45+00:00,11,5
03,03257,1,0,0,1,0,24,2022-05-03 10:19:45+00:00,24,0
03,03351,2,2,1,1,11,27,2022-05-03 10:19:45+00:00,18,10
03,03352,2,1,0,2,7,5,2022-05-03 10:19:45+00:00,5,7
03,03353,3,1,0,3,0,32,2022-05-03 10:19:45+00:00,32,0
03,03354,1,0,0,1,0,6,2022-05-03 10:19:45+00:00,6,0
03,03355,3,2,1,1,5,31,2022-05-03 10:19:45+00:00,20,0
03,03356,3,1,1,2,0,10,2022-05-03 10:19:45+00:00,10,0
03,03357,3,1,1,2,4,26,2022-05-03 10:19:45+00:00,25,1
03,03358,2,2,0,2,5,17,2022-05-03 10:19:45+00:00,17,5
03,03359,3,3,2,2,3,24,2022-05-03 10:19:45+00:00,24,0
03,03360,2,1,1,2,5,71,2022-05-03 10:19:45+00:00,71,5
