bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,2,1,2,5,37,2021-11-30 12:15:00,34,1
01,01002,7,7,3,3,24,124,2021-11-30 12:15:00,107,17
01,01003,3,9,8,2,16,110,2021-11-30 12:15:00,88,14
01,01004,1,4,0,1,1,24,2021-11-30 12:15:00,24,1
01,01051,1,1,1,1,6,32,2021-11-30 12:15:00,32,6
01,01053,2,6,0,2,2,16,2021-11-30 12:15:00,16,2
01,01054,3,1,1,3,1,23,2021-11-30 12:15:00,23,1
01,01055,3,1,1,3,7,39,2021-11-30 12:15:00,39,7
01,01056,2,6,0,2,2,29,2021-11-30 12:15:00,29,2
01,01057,1,2,2,1,3,9,2021-11-30 12:15:00,9,3
01,01058,5,3,1,3,8,34,2021-11-30 12:15:00,31,5
01,01059,1,0,0,1,0,24,2021-11-30 12:15:00,24,0
01,01060,3,3,2,3,20,65,2021-11-30 12:15:00,65,20
01,01061,3,3,1,1,17,26,2021-11-30 12:15:00,18,12
01,01062,3,8,3,3,1,27,2021-11-30 12:15:00,27,1
02,02000,34,66,35,24,97,519,2021-11-30 12:15:00,453,56
03,03101,7,5,2,5,26,103,2021-11-30 12:15:00,93,19
03,03102,2,7,5,2,1,28,2021-11-30 12:15:00,28,1
03,03103,3,4,4,1,5,23,2021-11-30 12:15:00,16,4
03,03151,1,5,2,1,0,13,2021-11-30 12:15:00,13,0
03,03153,3,3,1,3,2,25,2021-11-30 12:15:00,25,2
03,03154,1,2,1,1,3,12,2021-11-30 12:15:00,12,3
03,03155,2,3,0,2,4,16,2021-11-30 12:15:00,16,4
03,03157,1,1,0,1,3,13,2021-11-30 12:15:00,13,3
03,03158,1,2,1,1,4,12,2021-11-30 12:15:00,12,4
03,03159,8,23,16,7,18,116,2021-11-30 12:15:00,102,16
03,03241,19,45,29,16,38,361,2021-11-30 12:15:00,310,29
03,03251,3,1,1,3,5,12,2021-11-30 12:15:00,12,5
03,03252,6,3,3,4,9,65,2021-11-30 12:15:00,62,6
03,03254,7,11,3,4,28,49,2021-11-30 12:15:00,42,24
03,03255,1,2,1,1,0,9,2021-11-30 12:15:00,9,0
03,03256,1,0,0,1,1,13,2021-11-30 12:15:00,13,1
03,03257,1,4,1,1,0,22,2021-11-30 12:15:00,22,0
03,03351,2,3,3,1,3,25,2021-11-30 12:15:00,18,0
03,03352,2,3,2,2,5,7,2021-11-30 12:15:00,7,5
03,03353,3,2,1,3,8,24,2021-11-30 12:15:00,24,8
