bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,0,2,10,32,2022-01-28 11:18:47+00:00,30,5
01,01002,7,9,4,3,26,115,2022-01-28 11:18:47+00:00,95,21
01,01003,3,5,5,2,13,119,2022-01-28 11:18:47+00:00,102,6
01,01004,1,2,1,1,1,24,2022-01-28 11:18:47+00:00,24,1
01,01051,1,3,2,1,5,35,2022-01-28 11:18:47+00:00,35,5
01,01053,2,5,2,2,2,16,2022-01-28 11:18:47+00:00,16,2
01,01054,3,0,0,3,8,16,2022-01-28 11:18:47+00:00,16,8
01,01055,3,1,0,3,12,37,2022-01-28 11:18:47+00:00,37,12
01,01056,2,2,1,2,11,25,2022-01-28 11:18:47+00:00,25,11
01,01057,1,1,1,1,5,7,2022-01-28 11:18:47+00:00,7,5
01,01058,5,2,2,3,13,31,2022-01-28 11:18:47+00:00,29,9
01,01059,1,4,1,1,0,24,2022-01-28 11:18:47+00:00,24,0
01,01060,3,2,2,3,18,63,2022-01-28 11:18:47+00:00,63,18
01,01061,3,0,0,1,16,27,2022-01-28 11:18:47+00:00,18,12
01,01062,3,6,6,3,5,25,2022-01-28 11:18:47+00:00,25,5
02,02000,34,78,42,24,96,486,2022-01-28 11:18:47+00:00,424,51
03,03101,7,6,3,5,28,104,2022-01-28 11:18:47+00:00,90,25
03,03102,2,2,1,2,3,25,2022-01-28 11:18:47+00:00,25,3
03,03103,3,2,1,1,7,24,2022-01-28 11:18:47+00:00,17,5
03,03151,1,4,3,1,0,12,2022-01-28 11:18:47+00:00,12,0
03,03153,3,1,0,3,3,21,2022-01-28 11:18:47+00:00,21,3
03,03154,1,0,0,1,0,15,2022-01-28 11:18:47+00:00,15,0
03,03155,2,1,0,2,6,15,2022-01-28 11:18:47+00:00,15,6
03,03157,1,0,0,1,0,16,2022-01-28 11:18:47+00:00,16,0
03,03158,1,0,0,1,7,9,2022-01-28 11:18:47+00:00,9,7
03,03159,8,14,10,7,33,111,2022-01-28 11:18:47+00:00,99,23
03,03241,19,34,27,16,46,353,2022-01-28 11:18:47+00:00,310,35
03,03251,3,0,0,3,9,8,2022-01-28 11:18:47+00:00,8,9
03,03252,6,1,0,4,17,59,2022-01-28 11:18:47+00:00,58,12
03,03254,7,4,1,4,24,51,2022-01-28 11:18:47+00:00,46,18
03,03255,1,2,0,1,1,8,2022-01-28 11:18:47+00:00,8,1
03,03256,1,2,0,1,4,12,2022-01-28 11:18:47+00:00,12,4
03,03257,1,2,0,1,0,24,2022-01-28 11:18:47+00:00,24,0
03,03351,2,1,0,1,5,27,2022-01-28 11:18:47+00:00,21,1
03,03352,2,2,1,2,5,10,2022-01-28 11:18:47+00:00,10,5
