bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
01,01001,3,3,1,2,4,38,2021-12-03 12:15:00,33,2
01,01002,7,9,5,3,25,117,2021-12-03 12:15:00,101,16
01,01003,3,14,13,2,3,121,2021-12-03 12:15:00,100,0
01,01004,1,3,0,1,2,23,2021-12-03 12:15:00,23,2
01,01051,1,0,0,1,5,33,2021-12-03 12:15:00,33,5
01,01053,2,5,1,2,0,18,2021-12-03 12:15:00,18,0
01,01054,3,1,1,3,3,21,2021-12-03 12:15:00,21,3
01,01055,3,1,1,3,5,41,2021-12-03 12:15:00,41,5
01,01056,2,4,0,2,5,27,2021-12-03 12:15:00,27,5
01,01057,1,4,3,1,3,9,2021-12-03 12:15:00,9,3
01,01058,5,2,2,3,10,32,2021-12-03 12:15:00,27,9
01,01059,1,1,0,1,0,24,2021-12-03 12:15:00,24,0
01,01060,3,2,1,3,24,56,2021-12-03 12:15:00,56,24
01,01061,3,1,1,1,11,32,2021-12-03 12:15:00,22,8
01,01062,3,6,2,3,2,30,2021-12-03 12:15:00,30,2
02,02000,34,66,44,24,102,480,2021-12-03 12:15:00,415,58
03,03101,7,6,5,5,25,104,2021-12-03 12:15:00,94,18
03,03102,2,8,6,2,1,28,2021-12-03 12:15:00,28,1
03,03103,3,4,3,1,3,25,2021-12-03 12:15:00,17,3
03,03151,1,4,2,1,1,11,2021-12-03 12:15:00,11,1
03,03153,3,3,0,3,1,23,2021-12-03 12:15:00,23,1
03,03154,1,2,1,1,4,13,2021-12-03 12:15:00,13,4
03,03155,2,4,1,2,3,16,2021-12-03 12:15:00,16,3
03,03157,1,2,1,1,1,13,2021-12-03 12:15:00,13,1
03,03158,1,3,2,1,5,11,2021-12-03 12:15:00,11,5
03,03159,8,17,15,7,27,108,2021-12-03 12:15:00,97,22
03,03241,19,46,31,16,44,363,2021-12-03 12:15:00,311,38
03,03251,3,1,1,3,6,11,2021-12-03 12:15:00,11,6
03,03252,6,4,3,4,10,64,2021-12-03 12:15:00,64,4
03,03254,7,14,5,4,12,68,2021-12-03 12:15:00,59,10
03,03255,1,2,0,1,4,5,2021-12-03 12:15:00,5,4
03,03256,1,0,0,1,1,13,2021-12-03 12:15:00,13,1
03,03257,1,5,1,1,1,23,2021-12-03 12:15:00,23,1
03,03351,2,2,2,1,4,21,2021-12-03 12:15:00,15,0
03,03352,2,3,2,2,0,12,2021-12-03 12:15:00,12,0
03,03353,3,1,1,3,4,28,2021-12-03 12:15:00,28,4
03,03354,1,1,1,1,2,2,2021-12-03 12:15:00,2,2
03,03355,3,3,3,1,5,34,2021-12-03 12:15:00,18,4
03,03356,3,1,0,2,2,8,2021-12-03 12:15:00,8,2
03,03357,3,1,0,2,4,26,2021-12-03 12:15:00,22,4
03,03358,2,2,1,2,0,21,2021-12-03 12:15:00,21,0
03,03359,3,4,2,2,4,29,2021-12-03 12:15:00,29,1
03,03360,2,5,4,2,2,74,2021-12-03 12:15:00,74,2
03,03361,2,4,3,2,2,13,2021-12-03 12:15:00,13,2
03,03401,1,1,0,1,2,14,2021-12-03 12:15:00,14,2
03,03402,1,1,1,1,7,10,2021-12-03 12:15:00,10,7
03,03403,6,14,9,3,13,102,2021-12-03 12:15:00,83,7
03,03404,5,17,8,4,14,109,2021-12-03 12:15:00,94,13
03,03405,2,3,2,1,6,24,2021-12-03 12:15:00,22,0
03,03451,3,2,2,2,2,30,2021-12-03 12:15:00,30,2
03,03452,4,2,1,3,3,34,2021-12-03 12:15:00,27,2
03,03453,3,5,3,3,4,19,2021-12-03 12:15:00,19,4
03,03454,10,7,4,6,22,64,2021-12-03 12:15:00,54,8
03,03455,2,1,0,2,10,24,2021-12-03 12:15:00,24,10
03,03456,1,6,1,1,2,25,2021-12-03 12:15:00,25,2
03,03457,6,4,2,4,15,16,2021-12-03 12:15:00,16,10
03,03458,1,1,0,1,0,7,2021-12-03 12:15:00,7,0
03,03459,7,12,4,6,12,74,2021-12-03 12:15:00,74,12
03,03460,5,5,5,3,9,27,2021-12-03 12:15:00,21,7
03,03461,2,2,0,2,1,11,2021-12-03 12:15:00,11,1
03,03462,1,0,0,1,0,8,2021-12-03 12:15:00,8,0
04,04011,9,22,14,8,3,144,2021-12-03 12:15:00,130,1
04,04012,4,9,6,3,9,35,2021-12-03 12:15:00,33,3
05,05111,14,44,23,11,16,282,2021-12-03 12:15:00,254,15
05,05112,16,21,12,9,15,166,2021-12-03 12:15:00,143,9
05,05113,15,33,18,12,32,341,2021-12-03 12:15:00,317,28
05,05114,7,15,12,4,9,73,2021-12-03 12:15:00,62,8
05,05116,6,17,7,4,4,83,2021-12-03 12:15:00,76,4
05,05117,2,8,2,2,1,33,2021-12-03 12:15:00,33,1
05,05119,6,12,6,4,9,60,2021-12-03 12:15:00,46,4
05,05120,1,3,1,1,3,23,2021-12-03 12:15:00,23,3
05,05122,4,16,8,3,9,62,2021-12-03 12:15:00,59,8
05,05124,7,10,6,5,18,130,2021-12-03 12:15:00,117,17
05,05154,8,5,2,5,12,50,2021-12-03 12:15:00,49,5
05,05158,6,14,3,6,8,51,2021-12-03 12:15:00,51,8
05,05162,7,11,1,5,5,95,2021-12-03 12:15:00,84,2
05,05166,4,7,5,4,1,34,2021-12-03 12:15:00,34,1
05,05170,11,21,10,8,23,98,2021-12-03 12:15:00,93,19
05,05314,18,28,20,11,10,278,2021-12-03 12:15:00,223,4
05,05315,30,49,31,18,27,369,2021-12-03 12:15:00,313,23
05,05316,5,11,5,2,11,58,2021-12-03 12:15:00,42,9
05,05334,13,25,18,7,11,256,2021-12-03 12:15:00,240,8
05,05358,6,10,5,4,7,53,2021-12-03 12:15:00,47,5
05,05362,6,8,4,6,9,51,2021-12-03 12:15:00,51,9
05,05366,3,6,3,3,2,26,2021-12-03 12:15:00,26,2
05,05370,3,9,4,3,2,38,2021-12-03 12:15:00,38,2
05,05374,6,7,6,6,18,62,2021-12-03 12:15:00,62,18
05,05378,4,8,7,4,2,35,2021-12-03 12:15:00,35,2
05,05382,7,10,1,6,7,82,2021-12-03 12:15:00,69,7
05,05512,2,3,1,2,24,19,2021-12-03 12:15:00,19,24
05,05513,7,11,3,4,15,81,2021-12-03 12:15:00,71,4
05,05515,9,14,8,7,13,196,2021-12-03 12:15:00,181,10
05,05554,6,9,3,5,12,55,2021-12-03 12:15:00,55,10
05,05558,5,5,0,3,5,26,2021-12-03 12:15:00,16,5
05,05562,15,31,19,14,50,178,2021-12-03 12:15:00,151,45
05,05566,7,10,4,5,17,87,2021-12-03 12:15:00,75,14
05,05570,6,8,3,5,13,37,2021-12-03 12:15:00,36,10
05,05711,6,20,11,4,5,132,2021-12-03 12:15:00,106,3
05,05754,4,18,10,4,3,49,2021-12-03 12:15:00,49,3
05,05758,5,9,6,3,10,46,2021-12-03 12:15:00,41,5
05,05762,6,6,5,5,6,29,2021-12-03 12:15:00,25,6
05,05766,2,13,6,2,2,48,2021-12-03 12:15:00,48,2
05,05770,9,16,7,6,16,186,2021-12-03 12:15:00,166,9
05,05774,7,18,16,5,13,70,2021-12-03 12:15:00,61,7
05,05911,8,15,7,6,19,170,2021-12-03 12:15:00,155,13
05,05913,9,18,12,9,21,262,2021-12-03 12:15:00,262,21
05,05914,7,7,3,5,10,72,2021-12-03 12:15:00,69,3
05,05915,7,9,4,5,29,67,2021-12-03 12:15:00,55,19
05,05916,4,9,2,4,6,58,2021-12-03 12:15:00,58,6
05,05954,8,7,3,6,30,104,2021-12-03 12:15:00,73,18
05,05958,10,11,7,9,15,73,2021-12-03 12:15:00,69,15
05,05962,10,18,5,8,14,86,2021-12-03 12:15:00,81,11
05,05966,3,2,1,3,12,16,2021-12-03 12:15:00,16,12
05,05970,5,9,6,5,11,92,2021-12-03 12:15:00,92,11
05,05974,9,8,1,7,9,81,2021-12-03 12:15:00,72,4
05,05978,8,10,6,8,5,86,2021-12-03 12:15:00,86,5
06,06411,7,15,9,4,23,82,2021-12-03 12:15:00,48,8
06,06412,17,47,16,12,30,263,2021-12-03 12:15:00,239,26
06,06413,4,17,6,2,4,104,2021-12-03 12:15:00,92,2
06,06414,6,24,12,4,5,96,2021-12-03 12:15:00,84,5
06,06431,5,5,1,5,2,35,2021-12-03 12:15:00,35,2
06,06432,2,16,12,2,0,27,2021-12-03 12:15:00,27,0
06,06433,2,8,2,2,3,22,2021-12-03 12:15:00,22,3
06,06434,2,7,4,2,3,21,2021-12-03 12:15:00,21,3
06,06435,7,12,4,4,5,79,2021-12-03 12:15:00,68,3
06,06436,2,4,0,2,0,28,2021-12-03 12:15:00,28,0
06,06437,2,6,4,2,1,125,2021-12-03 12:15:00,125,1
06,06438,2,13,10,2,4,17,2021-12-03 12:15:00,17,4
06,06439,2,3,1,2,4,12,2021-12-03 12:15:00,12,4
06,06440,5,10,6,5,1,61,2021-12-03 12:15:00,61,1
06,06531,6,24,21,4,9,193,2021-12-03 12:15:00,174,6
06,06532,2,3,1,2,3,43,2021-12-03 12:15:00,43,3
06,06533,3,5,0,3,6,44,2021-12-03 12:15:00,44,6
06,06534,3,8,5,3,11,120,2021-12-03 12:15:00,120,11
06,06535,4,5,1,4,3,20,2021-12-03 12:15:00,20,3
06,06611,6,15,2,6,18,125,2021-12-03 12:15:00,125,18
06,06631,5,14,7,3,12,76,2021-12-03 12:15:00,68,9
06,06632,4,11,5,3,8,47,2021-12-03 12:15:00,44,4
06,06633,4,2,0,4,9,19,2021-12-03 12:15:00,19,9
06,06634,3,1,0,3,5,24,2021-12-03 12:15:00,24,5
06,06635,6,6,2,6,4,77,2021-12-03 12:15:00,77,4
06,06636,3,7,0,3,6,23,2021-12-03 12:15:00,23,6
07,07111,6,8,3,4,18,91,2021-12-03 12:15:00,75,16
07,07131,2,4,3,2,2,13,2021-12-03 12:15:00,13,2
07,07132,2,2,1,2,7,9,2021-12-03 12:15:00,9,7
07,07133,6,6,1,4,11,38,2021-12-03 12:15:00,31,3
07,07134,2,5,0,2,3,18,2021-12-03 12:15:00,18,3
07,07135,2,2,1,2,3,6,2021-12-03 12:15:00,6,3
07,07137,3,6,3,3,10,28,2021-12-03 12:15:00,28,10
07,07138,8,11,7,5,11,51,2021-12-03 12:15:00,38,9
07,07140,2,2,2,2,6,8,2021-12-03 12:15:00,8,6
07,07141,5,6,5,5,2,29,2021-12-03 12:15:00,29,2
07,07143,4,5,3,4,12,18,2021-12-03 12:15:00,18,12
07,07211,6,9,5,3,7,72,2021-12-03 12:15:00,62,6
07,07231,2,1,1,2,3,17,2021-12-03 12:15:00,17,3
07,07232,2,3,0,2,2,12,2021-12-03 12:15:00,12,2
07,07233,2,4,3,2,4,12,2021-12-03 12:15:00,12,4
07,07235,2,2,0,2,4,10,2021-12-03 12:15:00,10,4
07,07311,1,4,0,1,2,9,2021-12-03 12:15:00,9,2
07,07312,3,5,3,1,8,95,2021-12-03 12:15:00,87,3
07,07313,3,5,3,2,5,14,2021-12-03 12:15:00,14,0
07,07314,6,16,10,4,7,98,2021-12-03 12:15:00,83,6
07,07315,2,15,8,2,10,88,2021-12-03 12:15:00,88,10
07,07316,1,4,1,1,1,15,2021-12-03 12:15:00,15,1
07,07317,2,1,0,1,6,10,2021-12-03 12:15:00,7,5
07,07318,3,7,3,2,0,26,2021-12-03 12:15:00,25,0
07,07319,3,6,5,1,10,37,2021-12-03 12:15:00,24,1
07,07320,1,0,0,1,1,8,2021-12-03 12:15:00,8,1
07,07331,1,3,1,1,1,5,2021-12-03 12:15:00,5,1
07,07332,2,3,3,2,2,14,2021-12-03 12:15:00,14,2
07,07333,2,1,1,2,1,11,2021-12-03 12:15:00,11,1
07,07334,2,4,2,2,6,15,2021-12-03 12:15:00,15,6
07,07335,1,0,0,1,5,5,2021-12-03 12:15:00,5,5
07,07336,1,2,2,1,1,15,2021-12-03 12:15:00,15,1
07,07337,2,0,0,2,0,12,2021-12-03 12:15:00,12,0
07,07339,1,0,0,1,0,10,2021-12-03 12:15:00,10,0
07,07340,1,1,1,1,6,3,2021-12-03 12:15:00,3,6
08,08111,12,56,30,10,30,216,2021-12-03 12:15:00,195,29
08,08115,6,18,6,4,3,50,2021-12-03 12:15:00,37,3
08,08116,8,29,23,4,12,72,2021-12-03 12:15:00,58,7
08,08117,5,11,7,3,7,30,2021-12-03 12:15:00,25,4
08,08118,5,29,11,4,1,83,2021-12-03 12:15:00,82,0
08,08119,4,22,13,2,7,57,2021-12-03 12:15:00,49,2
08,08121,3,22,13,1,0,51,2021-12-03 12:15:00,38,0
08,08125,2,5,4,2,4,46,2021-12-03 12:15:00,46,4
08,08126,1,5,3,1,0,7,2021-12-03 12:15:00,7,0
08,08127,4,14,7,2,6,44,2021-12-03 12:15:00,41,1
08,08128,4,6,3,3,15,45,2021-12-03 12:15:00,33,11
08,08135,2,7,2,1,7,13,2021-12-03 12:15:00,12,2
08,08136,8,13,4,4,13,55,2021-12-03 12:15:00,41,9
08,08211,3,6,2,1,1,23,2021-12-03 12:15:00,14,0
08,08212,6,25,9,4,11,101,2021-12-03 12:15:00,93,7
08,08215,3,17,10,3,7,43,2021-12-03 12:15:00,43,7
08,08216,2,0,0,2,0,10,2021-12-03 12:15:00,10,0
08,08221,8,37,27,6,16,205,2021-12-03 12:15:00,171,14
08,08222,6,31,27,3,14,102,2021-12-03 12:15:00,87,6
08,08225,3,2,2,3,5,18,2021-12-03 12:15:00,18,5
08,08226,4,9,6,4,1,38,2021-12-03 12:15:00,38,1
08,08231,4,12,8,2,9,49,2021-12-03 12:15:00,40,6
08,08235,3,6,4,3,9,16,2021-12-03 12:15:00,16,9
08,08236,2,5,3,2,3,12,2021-12-03 12:15:00,12,3
08,08237,1,7,5,1,0,8,2021-12-03 12:15:00,8,0
08,08311,7,40,22,4,22,180,2021-12-03 12:15:00,152,14
08,08315,3,6,1,3,2,27,2021-12-03 12:15:00,27,2
08,08316,4,8,3,4,8,92,2021-12-03 12:15:00,92,8
08,08317,8,23,10,6,20,67,2021-12-03 12:15:00,57,15
08,08325,2,8,6,2,0,12,2021-12-03 12:15:00,12,0
08,08326,6,21,3,2,3,55,2021-12-03 12:15:00,43,3
08,08327,1,4,0,1,3,9,2021-12-03 12:15:00,9,3
08,08335,10,15,4,6,16,72,2021-12-03 12:15:00,59,10
08,08336,2,2,1,2,1,30,2021-12-03 12:15:00,17,0
08,08337,1,3,1,1,3,7,2021-12-03 12:15:00,7,3
08,08415,3,7,5,1,5,39,2021-12-03 12:15:00,19,1
08,08416,5,29,24,2,5,95,2021-12-03 12:15:00,69,2
