date,Belegte Betten,COVID-19-Fälle
2020-03-20T12:15:00+01:00,598,200
2020-03-21T12:15:00+01:00,2871,308
2020-03-22T12:15:00+01:00,3300,364
2020-03-23T12:15:00+01:00,3832,451
2020-03-24T12:15:00+01:00,4942,616
2020-03-25T12:15:00+01:00,5596,789
2020-03-26T12:15:00+01:00,6090,824
2020-03-27T12:15:00+01:00,6426,905
2020-03-28T12:15:00+01:00,6895,1001
2020-03-29T12:15:00+02:00,6874,1063
2020-03-30T12:15:00+02:00,7225,1203
2020-03-31T12:15:00+02:00,8550,1551
2020-04-01T12:15:00+02:00,9470,1785
2020-04-02T12:15:00+02:00,10807,2103
2020-04-03T12:15:00+02:00,11899,2364
2020-04-04T12:15:00+02:00,12110,2474
2020-04-05T12:15:00+02:00,12143,2531
2020-04-06T12:15:00+02:00,12181,2554
2020-04-07T12:15:00+02:00,12103,2644
2020-04-08T12:15:00+02:00,12784,2661
2020-04-09T12:15:00+02:00,13365,2718
2020-04-10T12:15:00+02:00,13115,2704
2020-04-11T12:15:00+02:00,12703,2657
2020-04-12T12:15:00+02:00,12778,2657
2020-04-13T12:15:00+02:00,13066,2722
2020-04-14T12:15:00+02:00,13355,2725
2020-04-15T12:15:00+02:00,14322,2739
2020-04-16T12:15:00+02:00,15907,2817
2020-04-17T12:15:00+02:00,17119,2883
2020-04-18T12:15:00+02:00,17594,2933
2020-04-19T12:15:00+02:00,17211,2875
2020-04-20T12:15:00+02:00,17525,2905
2020-04-21T12:15:00+02:00,18464,2860
2020-04-22T12:15:00+02:00,18860,2744
2020-04-23T12:15:00+02:00,19057,2728
2020-04-24T12:15:00+02:00,19262,2650
2020-04-25T12:15:00+02:00,19125,2543
2020-04-26T12:15:00+02:00,18642,2529
2020-04-27T12:15:00+02:00,18828,2471
2020-04-28T12:15:00+02:00,19370,2394
2020-04-29T12:15:00+02:00,19638,2313
2020-04-30T12:15:00+02:00,19595,2241
2020-05-01T12:15:00+02:00,19667,2124
2020-05-02T12:15:00+02:00,19032,2052
2020-05-03T12:15:00+02:00,19155,2018
2020-05-04T12:15:00+02:00,19078,1980
2020-05-05T12:15:00+02:00,19695,1906
2020-05-06T12:15:00+02:00,20093,1825
2020-05-07T12:15:00+02:00,20064,1769
2020-05-08T12:15:00+02:00,20035,1662
2020-05-09T12:15:00+02:00,19814,1596
2020-05-10T12:15:00+02:00,19256,1605
2020-05-11T12:15:00+02:00,19416,1590
2020-05-12T12:15:00+02:00,20301,1499
2020-05-13T12:15:00+02:00,20235,1386
2020-05-14T12:15:00+02:00,20145,1318
2020-05-15T12:15:00+02:00,20482,1235
2020-05-16T12:15:00+02:00,20122,1176
2020-05-17T12:15:00+02:00,19589,1128
2020-05-18T12:15:00+02:00,19558,1126
2020-05-19T12:15:00+02:00,20154,1088
2020-05-20T12:15:00+02:00,20412,1021
2020-05-21T12:15:00+02:00,20408,1000
2020-05-22T12:15:00+02:00,19851,975
2020-05-23T12:15:00+02:00,20042,931
2020-05-24T12:15:00+02:00,19553,900
2020-05-25T12:15:00+02:00,19639,885
2020-05-26T12:15:00+02:00,20190,816
2020-05-27T12:15:00+02:00,20480,751
2020-05-28T12:15:00+02:00,20563,726
2020-05-29T12:15:00+02:00,20492,725
2020-05-30T12:15:00+02:00,20379,716
2020-05-31T12:15:00+02:00,19715,699
2020-06-01T12:15:00+02:00,19643,698
2020-06-02T12:15:00+02:00,19720,694
2020-06-03T12:15:00+02:00,20442,635
2020-06-04T12:15:00+02:00,20757,600
2020-06-05T12:15:00+02:00,20822,588
2020-06-06T12:15:00+02:00,20562,562
2020-06-07T12:15:00+02:00,19972,567
2020-06-08T12:15:00+02:00,19834,546
2020-06-09T12:15:00+02:00,20683,522
2020-06-10T12:15:00+02:00,20848,488
2020-06-11T12:15:00+02:00,20778,453
2020-06-12T12:15:00+02:00,20285,453
2020-06-13T12:15:00+02:00,20229,442
2020-06-14T12:15:00+02:00,19832,438
2020-06-15T12:15:00+02:00,19899,434
2020-06-16T12:15:00+02:00,20614,422
2020-06-17T12:15:00+02:00,20928,409
2020-06-18T12:15:00+02:00,21063,398
2020-06-19T12:15:00+02:00,21152,377
2020-06-20T12:15:00+02:00,20843,362
2020-06-21T12:15:00+02:00,20260,353
2020-06-22T12:15:00+02:00,20278,368
2020-06-23T12:15:00+02:00,20909,362
2020-06-24T12:15:00+02:00,21002,356
2020-06-25T12:15:00+02:00,21000,361
2020-06-26T12:15:00+02:00,21128,363
2020-06-27T12:15:00+02:00,20932,345
2020-06-28T12:15:00+02:00,20430,338
2020-06-29T12:15:00+02:00,20371,332
2020-06-30T12:15:00+02:00,20944,334
2020-07-01T12:15:00+02:00,21336,327
2020-07-02T12:15:00+02:00,21438,326
2020-07-03T12:15:00+02:00,21204,319
2020-07-04T12:15:00+02:00,20826,323
2020-07-05T12:15:00+02:00,20275,301
2020-07-06T12:15:00+02:00,20363,312
2020-07-07T12:15:00+02:00,20912,297
2020-07-08T12:15:00+02:00,21135,291
2020-07-09T12:15:00+02:00,21175,278
2020-07-10T12:15:00+02:00,21255,279
2020-07-11T12:15:00+02:00,21000,254
2020-07-12T12:15:00+02:00,20382,255
2020-07-13T12:15:00+02:00,20232,264
2020-07-14T12:15:00+02:00,20975,261
2020-07-15T12:15:00+02:00,21387,247
2020-07-16T12:15:00+02:00,21431,254
2020-07-17T12:15:00+02:00,21479,248
2020-07-18T12:15:00+02:00,21079,246
2020-07-19T12:15:00+02:00,20571,253
2020-07-20T12:15:00+02:00,20727,246
2020-07-21T12:15:00+02:00,21148,253
2020-07-22T12:15:00+02:00,21435,249
2020-07-23T12:15:00+02:00,21484,238
2020-07-24T12:15:00+02:00,21615,236
2020-07-25T12:15:00+02:00,21340,248
2020-07-26T12:15:00+02:00,20852,267
2020-07-27T12:15:00+02:00,20754,258
2020-07-28T12:15:00+02:00,21399,255
2020-07-29T12:15:00+02:00,21708,257
2020-07-30T12:15:00+02:00,21580,262
2020-07-31T12:15:00+02:00,21594,261
2020-08-01T12:15:00+02:00,21345,257
2020-08-02T12:15:00+02:00,20863,269
2020-08-03T12:15:00+02:00,20866,267
2020-08-04T12:15:00+02:00,21408,260
2020-08-05T12:15:00+02:00,21657,240
2020-08-06T12:15:00+02:00,21639,237
2020-08-07T12:15:00+02:00,21673,227
