date,faelleCovidAktuell,intensivBettenBelegt
"2020-03-20T12:15:00+01:00",200,598
"2020-03-21T12:15:00+01:00",308,2871
"2020-03-22T12:15:00+01:00",364,3300
"2020-03-23T12:15:00+01:00",451,3832
"2020-03-24T12:15:00+01:00",616,4942
"2020-03-25T12:15:00+01:00",789,5596
"2020-03-26T12:15:00+01:00",824,6090
"2020-03-27T12:15:00+01:00",905,6426
"2020-03-28T12:15:00+01:00",1001,6895
"2020-03-29T12:15:00+02:00",1063,6874
"2020-03-30T12:15:00+02:00",1203,7225
"2020-03-31T12:15:00+02:00",1551,8550
"2020-04-01T12:15:00+02:00",1785,9470
"2020-04-02T12:15:00+02:00",2103,10807
"2020-04-03T12:15:00+02:00",2364,11899
"2020-04-04T12:15:00+02:00",2474,12110
"2020-04-05T12:15:00+02:00",2531,12143
"2020-04-06T12:15:00+02:00",2554,12181
"2020-04-07T12:15:00+02:00",2644,12103
"2020-04-08T12:15:00+02:00",2661,12784
"2020-04-09T12:15:00+02:00",2718,13365
"2020-04-10T12:15:00+02:00",2704,13115
"2020-04-11T12:15:00+02:00",2657,12703
"2020-04-12T12:15:00+02:00",2657,12778
"2020-04-13T12:15:00+02:00",2722,13066
"2020-04-14T12:15:00+02:00",2725,13355
"2020-04-15T12:15:00+02:00",2739,14322
"2020-04-16T12:15:00+02:00",2817,15907
"2020-04-17T12:15:00+02:00",2883,17119
"2020-04-18T12:15:00+02:00",2933,17594
"2020-04-19T12:15:00+02:00",2875,17211
"2020-04-20T12:15:00+02:00",2905,17525
"2020-04-21T12:15:00+02:00",2860,18464
"2020-04-22T12:15:00+02:00",2744,18860
"2020-04-23T12:15:00+02:00",2728,19057
"2020-04-24T12:15:00+02:00",2650,19262
"2020-04-25T12:15:00+02:00",2543,19125
"2020-04-26T12:15:00+02:00",2529,18642
"2020-04-27T12:15:00+02:00",2471,18828
"2020-04-28T12:15:00+02:00",2394,19370
"2020-04-29T12:15:00+02:00",2313,19638
"2020-04-30T12:15:00+02:00",2241,19595
"2020-05-01T12:15:00+02:00",2124,19667
"2020-05-02T12:15:00+02:00",2052,19032
"2020-05-03T12:15:00+02:00",2018,19155
"2020-05-04T12:15:00+02:00",1980,19078
"2020-05-05T12:15:00+02:00",1906,19695
"2020-05-06T12:15:00+02:00",1825,20093
"2020-05-07T12:15:00+02:00",1769,20064
"2020-05-08T12:15:00+02:00",1662,20035
"2020-05-09T12:15:00+02:00",1596,19814
"2020-05-10T12:15:00+02:00",1605,19256
"2020-05-11T12:15:00+02:00",1590,19416
"2020-05-12T12:15:00+02:00",1499,20301
"2020-05-13T12:15:00+02:00",1386,20235
"2020-05-14T12:15:00+02:00",1318,20145
"2020-05-15T12:15:00+02:00",1235,20482
"2020-05-16T12:15:00+02:00",1176,20122
"2020-05-17T12:15:00+02:00",1128,19589
"2020-05-18T12:15:00+02:00",1126,19558
"2020-05-19T12:15:00+02:00",1088,20154
"2020-05-20T12:15:00+02:00",1021,20412
"2020-05-21T12:15:00+02:00",1000,20408
"2020-05-22T12:15:00+02:00",975,19851
"2020-05-23T12:15:00+02:00",931,20042
"2020-05-24T12:15:00+02:00",900,19553
"2020-05-25T12:15:00+02:00",885,19639
"2020-05-26T12:15:00+02:00",816,20190
"2020-05-27T12:15:00+02:00",751,20480
"2020-05-28T12:15:00+02:00",726,20563
"2020-05-29T12:15:00+02:00",725,20492
"2020-05-30T12:15:00+02:00",716,20379
"2020-05-31T12:15:00+02:00",699,19715
"2020-06-01T12:15:00+02:00",698,19643
"2020-06-02T12:15:00+02:00",694,19720
"2020-06-03T12:15:00+02:00",635,20442
"2020-06-04T12:15:00+02:00",600,20757
"2020-06-05T12:15:00+02:00",588,20822
"2020-06-06T12:15:00+02:00",562,20562
"2020-06-07T12:15:00+02:00",567,19972
"2020-06-08T12:15:00+02:00",546,19834
"2020-06-09T12:15:00+02:00",522,20683
"2020-06-10T12:15:00+02:00",488,20848
"2020-06-11T12:15:00+02:00",453,20778
"2020-06-12T12:15:00+02:00",453,20285
"2020-06-13T12:15:00+02:00",442,20229
"2020-06-14T12:15:00+02:00",438,19832
"2020-06-15T12:15:00+02:00",434,19899
"2020-06-16T12:15:00+02:00",422,20614
"2020-06-17T12:15:00+02:00",409,20928
"2020-06-18T12:15:00+02:00",398,21063
"2020-06-19T12:15:00+02:00",377,21152
"2020-06-20T12:15:00+02:00",362,20843
"2020-06-21T12:15:00+02:00",353,20260
"2020-06-22T12:15:00+02:00",368,20278
"2020-06-23T12:15:00+02:00",362,20909
"2020-06-24T12:15:00+02:00",356,21002
"2020-06-25T12:15:00+02:00",361,21000
"2020-06-26T12:15:00+02:00",363,21128
"2020-06-27T12:15:00+02:00",345,20932
"2020-06-28T12:15:00+02:00",338,20430
"2020-06-29T12:15:00+02:00",332,20371
"2020-06-30T12:15:00+02:00",334,20944
"2020-07-01T12:15:00+02:00",327,21336
"2020-07-02T12:15:00+02:00",326,21438
