code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	8784731	5599201	3380057
DE-BY	10087958	6271573	4023387
DE-BE	2907652	1887618	1082055
DE-BB	1918300	1252292	721109
DE-HB	589032	391497	214839
DE-HH	1403935	890935	550638
DE-HE	4893557	3165286	1832340
DE-MV	1343709	837812	535406
DE-NI	6346009	4137533	2432556
DE-NW	15031451	9539775	5924939
DE-RP	3225984	2087597	1216350
DE-SL	881546	533579	367363
DE-SN	3049207	1843006	1261825
DE-ST	1675329	1065026	662223
DE-SH	2448066	1584611	923590
DE-TH	1644256	1044817	627562
