code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4673598	1754612	1741824	1290156
DE-BE	7677252	2840872	2814368	2152585
DE-BUND	529068	201802	194744	140666
DE-BW	22196066	8201024	8212276	6264599
DE-BY	26284555	9712090	9796583	7281284
DE-HB	1603230	613098	604390	433972
DE-HE	12743686	4823040	4678925	3493906
DE-HH	4051788	1536186	1532558	1091780
DE-MV	3224846	1195950	1194348	900668
DE-NI	17030075	6270731	6195267	4999059
DE-NW	38525551	14395452	14114241	10836155
DE-RP	8455775	3174441	3068894	2380026
DE-SH	6584543	2339563	2343814	2036253
DE-SL	2208845	810559	807158	640716
DE-SN	7069003	2648620	2608421	1913628
DE-ST	4210724	1567137	1590042	1161743
DE-TH	3955280	1486221	1484362	1079279
