code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2748848	1470200	1363154
DE-BE	4405000	2348459	2151444
DE-BUND	356712	186532	175397
DE-BW	13040229	6873380	6516870
DE-BY	15270697	8065727	7565574
DE-HB	940798	502819	472094
DE-HE	7450219	4020089	3621260
DE-HH	2302188	1245187	1123767
DE-MV	1895842	1004124	940147
DE-NI	9815522	5340406	4819071
DE-NW	22694164	12227390	11117007
DE-RP	4975582	2681589	2420673
DE-SH	3724940	2005919	1829995
DE-SL	1293232	695163	634022
DE-SN	4189095	2206588	2066622
DE-ST	2453967	1307637	1230944
DE-TH	2331824	1225711	1163505
