code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2816023	1502801	1402065
DE-BE	4527432	2396591	2229688
DE-BUND	359192	187371	177054
DE-BW	13280752	6987688	6659715
DE-BY	15593338	8207831	7766632
DE-HB	962306	514908	483758
DE-HE	7679885	4105905	3774324
DE-HH	2400442	1278252	1194293
DE-MV	1936482	1024072	963703
DE-NI	10133230	5462508	5032138
DE-NW	23307943	12545326	11436157
DE-RP	5117238	2740592	2508662
DE-SH	3817402	2047740	1885079
DE-SL	1332424	708297	662243
DE-SN	4285496	2253217	2119183
DE-ST	2514400	1334031	1269031
DE-TH	2373867	1244469	1190769
