code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4704699	1757474	1747823	1312440
DE-BE	7728616	2846614	2824655	2187996
DE-BUND	531038	202025	194995	142162
DE-BW	22309267	8214001	8237645	6339851
DE-BY	26439018	9729032	9828743	7386802
DE-HB	1613886	614586	606850	440736
DE-HE	12842631	4832934	4697579	3564368
DE-HH	4084724	1540247	1539778	1113509
DE-MV	3247472	1197924	1199460	916242
DE-NI	17147134	6282124	6220258	5079858
DE-NW	38790364	14424604	14165559	11021353
DE-RP	8510994	3180465	3082563	2415636
DE-SH	6656540	2343213	2352453	2096028
DE-SL	2221531	811599	809861	649669
DE-SN	7123114	2653524	2618822	1952493
DE-ST	4243236	1570012	1597224	1184216
DE-TH	3981637	1488850	1490570	1096878
