code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12783303	6766754	6343925
DE-BY	14903903	7959890	7286239
DE-BE	4269832	2303695	2056910
DE-BB	2691612	1445644	1326416
DE-HB	921088	492534	460439
DE-HH	2199488	1219631	1040808
DE-HE	7252566	3949461	3484217
DE-MV	1854522	987761	912371
DE-NI	9533282	5267326	4593822
DE-NW	21939960	11942314	10615946
DE-RP	4873653	2641375	2353110
DE-SL	1258118	684639	607136
DE-SN	4114439	2173482	2021994
DE-ST	2398251	1285740	1192298
DE-SH	3622419	1966726	1760349
DE-TH	2293057	1206612	1138361
