code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	10377253	6247917	4372877
DE-BY	12092006	7247550	5106018
DE-BE	3396495	2067391	1403847
DE-BB	2192391	1343796	915103
DE-HB	706594	449187	279360
DE-HH	1707295	1045775	709128
DE-HE	5825114	3532246	2428386
DE-MV	1546026	911513	669997
DE-NI	7496018	4719663	3036328
DE-NW	17962334	10735698	7746849
DE-RP	3873221	2381736	1591316
DE-SL	1021652	602203	444192
DE-SN	3466185	1986548	1543953
DE-ST	1959744	1176541	843037
DE-SH	2880516	1760952	1196561
DE-TH	1901031	1129242	809753
