code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4306163	1723732	1672945	1021845
DE-BE	7062161	2787120	2691611	1710696
DE-BUND	499676	200677	191689	115451
DE-BW	20699854	8053517	7877221	5246558
DE-BY	24360632	9539610	9397853	5926368
DE-HB	1481250	600794	578732	349576
DE-HE	11660827	4717365	4485031	2709408
DE-HH	3622024	1486527	1445548	797167
DE-MV	2971662	1174300	1148194	714896
DE-NI	15726718	6135994	5930666	4092347
DE-NW	35688853	14139804	13562636	8797716
DE-RP	7861930	3112069	2947374	1969206
DE-SH	5891082	2290278	2244164	1491263
DE-SL	2070529	797911	775499	546200
DE-SN	6504421	2597239	2504963	1503336
DE-ST	3820803	1535471	1515325	877853
DE-TH	3655213	1458534	1421268	869220
