code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4715747	1758299	1749840	1320654
DE-BE	7756968	2851916	2829774	2205954
DE-BUND	531569	202069	195057	142588
DE-BW	22353624	8220745	8249732	6365475
DE-BY	26490860	9733485	9839728	7423262
DE-HB	1618149	614989	607708	443738
DE-HE	12873047	4836032	4703241	3586040
DE-HH	4101968	1543643	1542654	1124520
DE-MV	3256828	1198668	1201097	923232
DE-NI	17182084	6285605	6227396	5104261
DE-NW	38874127	14432734	14180871	11081930
DE-RP	8529484	3182072	3085638	2429502
DE-SH	6669366	2344055	2354481	2105997
DE-SL	2225562	811901	810517	652744
DE-SN	7141926	2654919	2622460	1966281
DE-ST	4254269	1570762	1599393	1192342
DE-TH	3990535	1489545	1492453	1103227
