code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3191175	1612039	1557687
DE-BE	5316716	2593372	2509010
DE-BUND	375930	194133	186504
DE-BW	14979352	7500251	7321825
DE-BY	17911183	8900689	8660127
DE-HB	1112074	557451	540756
DE-HE	8756544	4416351	4215077
DE-HH	2774377	1395318	1359215
DE-MV	2194961	1097412	1066809
DE-NI	11472921	5813325	5580092
DE-NW	26568523	13368105	12774658
DE-RP	5799358	2936994	2770652
DE-SH	4369956	2173813	2104954
DE-SL	1508624	752906	731097
DE-SN	4852102	2425397	2338343
DE-ST	2849644	1431117	1401019
DE-TH	2730923	1338582	1309739
