code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3323832	1630658	1569736
DE-BE	5554463	2630805	2532381
DE-BUND	384754	194572	186950
DE-BW	15707555	7618087	7397043
DE-BY	18879667	9043309	8764190
DE-HB	1149340	563420	544738
DE-HE	9087006	4473986	4250106
DE-HH	2877251	1416359	1376169
DE-MV	2290668	1115755	1076876
DE-NI	11923082	5872637	5624061
DE-NW	27658880	13466133	12847513
DE-RP	6028134	2965358	2791833
DE-SH	4512247	2191436	2116170
DE-SL	1575710	762564	736642
DE-SN	5062421	2453570	2356165
DE-ST	2983350	1456637	1415642
DE-TH	2858738	1366499	1327128
