code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	7859431	5227494	2774800
DE-BY	9295355	6069191	3381058
DE-BE	2621384	1777146	890673
DE-BB	1746320	1169310	620136
DE-HB	536082	360030	191321
DE-HH	1258750	834237	453001
DE-HE	4377517	3000142	1450194
DE-MV	1217801	793719	445473
DE-NI	5718912	3904799	1991293
DE-NW	13534819	9075460	4777102
DE-RP	2929561	1940445	1043594
DE-SL	795550	508789	299769
DE-SN	2792213	1752309	1086200
DE-ST	1514193	998417	557391
DE-SH	2202382	1471730	777118
DE-TH	1506947	982655	546754
