code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2992799	1572224	1502655
DE-BE	4870281	2499094	2394965
DE-BUND	370015	193055	184820
DE-BW	14103509	7309637	7049893
DE-BY	16553868	8590045	8274721
DE-HB	1034287	543601	519547
DE-HE	8218346	4302601	4061501
DE-HH	2570603	1347685	1291814
DE-MV	2043555	1065642	1023800
DE-NI	10725517	5695783	5386739
DE-NW	24959863	13105772	12336597
DE-RP	5465583	2879648	2676766
DE-SH	4103728	2129406	2043621
DE-SL	1411651	736500	707474
DE-SN	4544204	2362176	2252867
DE-ST	2666817	1393161	1346019
DE-TH	2506884	1296658	1258973
