code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2825450	1507283	1407688
DE-BE	4554617	2405697	2247525
DE-BUND	359414	187413	177234
DE-BW	13347270	7019903	6698580
DE-BY	15667853	8242500	7810865
DE-HB	967452	517828	486427
DE-HE	7729621	4124773	3807127
DE-HH	2412402	1284669	1200888
DE-MV	1942806	1027299	967206
DE-NI	10187546	5489099	5063687
DE-NW	23432652	12603275	11502934
DE-RP	5138744	2751327	2520378
DE-SH	3850916	2060605	1905749
DE-SL	1340132	710549	668020
DE-SN	4308538	2263236	2132532
DE-ST	2523978	1338306	1274460
DE-TH	2384631	1248874	1198906
