code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4802971	1760247	1642935	1324515
DE-BE	8033172	2901371	2756249	2215454
DE-BUND	533443	201885	189394	141554
DE-BW	23020088	8341348	7926897	6383151
DE-BY	27196139	9842844	9516964	7423711
DE-HB	1684283	617161	576404	437762
DE-HE	13261604	4882463	4527704	3583012
DE-HH	4317961	1598229	1485682	1129443
DE-MV	3357842	1211703	1154155	925843
DE-NI	17945595	6364362	5894622	5130485
DE-NW	40581120	14611636	13594299	11126846
DE-RP	8817586	3210336	2955301	2437678
DE-SH	6863337	2351650	2245051	2106949
DE-SL	2299333	818599	770412	653841
DE-SN	7249105	2668550	2541631	1970524
DE-ST	4394869	1608475	1527899	1198902
DE-TH	4067389	1499208	1420358	1100787
