code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	6043123	4462250	1611986
DE-BY	7309458	5408279	1922523
DE-BE	1984689	1416396	574546
DE-BB	1283143	903332	382935
DE-HB	409320	289065	125800
DE-HH	982670	718152	266413
DE-HE	3394755	2572333	825347
DE-MV	902040	677914	227749
DE-NI	4339556	3323282	1047600
DE-NW	10232543	7773501	2474800
DE-RP	2259090	1597926	662012
DE-SL	608562	439465	169440
DE-SN	2203401	1450044	760675
DE-ST	1156785	849856	312615
DE-SH	1647934	1152957	505942
DE-TH	1185915	812547	374094
