code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2956647	1558705	1483931
DE-BE	4785735	2474443	2359546
DE-BUND	369430	192847	184519
DE-BW	13963142	7264835	6980340
DE-BY	16361590	8522251	8175702
DE-HB	1018958	537712	512107
DE-HE	8141518	4278977	4021257
DE-HH	2531751	1331882	1271628
DE-MV	2029156	1060249	1016101
DE-NI	10643468	5668208	5346133
DE-NW	24702517	13037999	12203378
DE-RP	5417796	2865130	2654599
DE-SH	4070582	2119542	2029442
DE-SL	1397790	731592	700799
DE-SN	4499463	2347369	2229369
DE-ST	2643157	1385080	1334175
DE-TH	2478515	1286996	1244294
