code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4584444	1747277	1721227	1228753
DE-BE	7561268	2829406	2786288	2075845
DE-BUND	525173	201490	194100	137724
DE-BW	21900226	8171091	8129060	6081059
DE-BY	25896026	9677671	9693417	7029909
DE-HB	1580029	610197	596988	420958
DE-HE	12518546	4803208	4620663	3346531
DE-HH	3897925	1510001	1490462	1005601
DE-MV	3165294	1190425	1179450	861413
DE-NI	16708558	6239792	6113101	4789954
DE-NW	37870113	14336571	13962870	10388890
DE-RP	8303526	3158134	3030813	2281654
DE-SH	6368717	2329871	2312157	1861590
DE-SL	2177133	807887	798889	619868
DE-SN	6942530	2636902	2577256	1829945
DE-ST	4129887	1560389	1570035	1107620
DE-TH	3889111	1478849	1466567	1038100
