code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	12128476	6619774	5807083
DE-BY	13929801	7771626	6472757
DE-BE	3997695	2227362	1854664
DE-BB	2550470	1403983	1220337
DE-HB	859037	479787	408357
DE-HH	2009874	1170400	894888
DE-HE	6864562	3849445	3182928
DE-MV	1746259	959862	827636
DE-NI	8941817	5148150	4097317
DE-NW	20611351	11625986	9568368
DE-RP	4586873	2573095	2127124
DE-SL	1182196	665057	545906
DE-SN	3953699	2117634	1910633
DE-ST	2277444	1254519	1094902
DE-SH	3382108	1899744	1577785
DE-TH	2207662	1183719	1069923
