code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	11342248	6472208	5143531
DE-BY	13086157	7586134	5793901
DE-BE	3762628	2161008	1681691
DE-BB	2389424	1379807	1080922
DE-HB	796197	468902	352701
DE-HH	1890296	1123122	818420
DE-HE	6438784	3720633	2874316
DE-MV	1662931	939638	761508
DE-NI	8305796	4995725	3595985
DE-NW	19584681	11342562	8798074
DE-RP	4288830	2496003	1901143
DE-SL	1113221	643623	496399
DE-SN	3748977	2070522	1748202
DE-ST	2136296	1222648	979463
DE-SH	3169211	1844376	1413546
DE-TH	2079658	1158125	964632
