code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4863227	1720724	1629306	1394384
DE-BE	8188554	2889120	2753972	2298715
DE-BUND	535122	201941	189523	142552
DE-BW	23645603	8396174	7993212	6728883
DE-BY	27784090	9893890	9585060	7693973
DE-HB	1726578	619773	579851	448449
DE-HE	13710519	4925299	4568963	3785286
DE-HH	4470902	1603648	1497147	1213128
DE-MV	3446138	1217200	1160186	956838
DE-NI	18463534	6394558	5937125	5318393
DE-NW	41809851	14637233	13659553	11671121
DE-RP	9113519	3236547	2979521	2581973
DE-SH	7057947	2353496	2249715	2029822
DE-SL	2351101	822138	774252	675734
DE-SN	7347337	2676212	2550547	2012797
DE-ST	4493779	1617828	1533264	1245232
DE-TH	4133896	1506499	1429272	1127638
