code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4845528	1761612	1645819	1336480
DE-BE	8129801	2910227	2767730	2243767
DE-BUND	534364	201913	189480	142171
DE-BW	23171366	8348171	7938711	6416296
DE-BY	27384102	9848242	9531408	7475019
DE-HB	1702471	617760	577564	441614
DE-HE	13393728	4886046	4535034	3606571
DE-HH	4367084	1600668	1490175	1141776
DE-MV	3399348	1212525	1156060	933548
DE-NI	18139951	6369041	5904837	5165303
DE-NW	41071821	14625484	13620325	11216127
DE-RP	8935830	3217337	2963297	2475665
DE-SH	6982383	2353616	2249563	2128981
DE-SL	2318883	819008	771428	658035
DE-SN	7295673	2670745	2545982	1988285
DE-ST	4431261	1609412	1530232	1210538
DE-TH	4091589	1499823	1422532	1109479
