code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	6361468	4606135	1805647
DE-BY	7606422	5524519	2127043
DE-BE	2078144	1471488	617619
DE-BB	1356642	938655	426467
DE-HB	430733	299016	138811
DE-HH	1029221	742164	292228
DE-HE	3555842	2649688	920318
DE-MV	953292	697398	261541
DE-NI	4553091	3419302	1182945
DE-NW	10807075	8039920	2825528
DE-RP	2373641	1650904	731226
DE-SL	637036	450258	189010
DE-SN	2303243	1499513	817341
DE-ST	1223946	879535	355000
DE-SH	1737353	1205238	547786
DE-TH	1240885	846513	399231
