code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4655761	1752860	1738091	1277767
DE-BE	7653549	2837159	2808765	2138060
DE-BUND	528565	201743	194658	140308
DE-BW	22125831	8191357	8194489	6221654
DE-BY	26192876	9701596	9773635	7222939
DE-HB	1597780	612289	602811	430880
DE-HE	12693527	4817435	4666196	3461887
DE-HH	4026802	1531877	1525717	1077663
DE-MV	3211273	1194246	1191369	891725
DE-NI	16958260	6260405	6179158	4953553
DE-NW	38366404	14378301	14080285	10727502
DE-RP	8419987	3170512	3060180	2356840
DE-SH	6521918	2337016	2338210	1981649
DE-SL	2200377	809821	805224	634903
DE-SN	7036005	2644716	2601083	1891858
DE-ST	4191394	1565312	1585428	1148849
DE-TH	3939219	1483764	1480363	1069632
