code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2872602	1526787	1435410
DE-BE	4645832	2436322	2295472
DE-BUND	367777	192243	183584
DE-BW	13597257	7122136	6810807
DE-BY	15943189	8359747	7954977
DE-HB	989297	526901	496633
DE-HE	7895678	4189389	3894138
DE-HH	2454490	1302222	1225722
DE-MV	1974633	1041429	985286
DE-NI	10365739	5569829	5170654
DE-NW	23922853	12798994	11756015
DE-RP	5242785	2803665	2569871
DE-SH	3934261	2085175	1951856
DE-SL	1364372	719056	682668
DE-SN	4383789	2299774	2169239
DE-ST	2571297	1357390	1298233
DE-TH	2423694	1264174	1218325
