code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2968715	1564080	1489664
DE-BE	4812697	2481495	2371100
DE-BUND	369579	192907	184586
DE-BW	13991151	7274211	6993519
DE-BY	16423113	8544168	8208641
DE-HB	1023097	539283	514217
DE-HE	8160659	4284750	4031387
DE-HH	2547059	1338722	1279345
DE-MV	2032638	1061549	1017898
DE-NI	10665004	5676128	5356977
DE-NW	24774110	13057293	12240257
DE-RP	5429191	2868159	2659834
DE-SH	4082995	2123780	2035392
DE-SL	1401965	733105	702761
DE-SN	4512410	2351897	2236203
DE-ST	2649065	1387107	1337316
DE-TH	2487730	1290434	1248887
