code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4331140	1726041	1676786	1040722
DE-BE	7133436	2793198	2701911	1765663
DE-BUND	501855	200743	191879	117374
DE-BW	20869471	8074092	7908007	5365138
DE-BY	24526495	9558029	9426689	6045207
DE-HB	1494161	601907	580546	359583
DE-HE	11757108	4727794	4496782	2783597
DE-HH	3659358	1489423	1448987	828345
DE-MV	2987186	1175686	1150147	727090
DE-NI	15822921	6148201	5943546	4163581
DE-NW	35922160	14165843	13598754	8969694
DE-RP	7915018	3118208	2955619	2007952
DE-SH	5959485	2295186	2250621	1548305
DE-SL	2083246	799169	777291	555924
DE-SN	6543159	2601525	2509958	1532842
DE-ST	3849982	1537531	1520817	899515
DE-TH	3675948	1460009	1423714	886142
