code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	10199280	6189059	4248927
DE-BY	11894775	7143757	5008201
DE-BE	3347406	2052019	1368668
DE-BB	2155612	1335151	885762
DE-HB	686909	441123	266846
DE-HH	1668655	1031002	684316
DE-HE	5718251	3491289	2358810
DE-MV	1520349	902668	652539
DE-NI	7359486	4655442	2961816
DE-NW	17681676	10615558	7580938
DE-RP	3784135	2354104	1527688
DE-SL	1005553	593768	436059
DE-SN	3422979	1968888	1517686
DE-ST	1923087	1164068	817746
DE-SH	2827977	1742924	1158189
DE-TH	1871395	1123506	784920
