code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4839722	1761440	1645362	1334653
DE-BE	8116762	2909678	2766777	2239701
DE-BUND	534185	201911	189471	142069
DE-BW	23148548	8347168	7936899	6410744
DE-BY	27357210	9847406	9529294	7467438
DE-HB	1699653	617620	577394	441036
DE-HE	13376019	4885456	4534041	3603166
DE-HH	4360183	1600350	1489627	1140320
DE-MV	3394047	1212407	1155709	932127
DE-NI	18113709	6368089	5903266	5160595
DE-NW	41005744	14623936	13617108	11203898
DE-RP	8922760	3216848	2962455	2472047
DE-SH	6972631	2353376	2249013	2127173
DE-SL	2316423	818948	771268	657473
DE-SN	7289373	2670384	2545402	1986030
DE-ST	4425987	1609230	1529825	1208808
DE-TH	4088791	1499699	1422270	1108624
