code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4831923	1761157	1644812	1332461
DE-BE	8101618	2909160	2765749	2235439
DE-BUND	533993	201900	189456	141934
DE-BW	23116182	8345360	7933726	6403610
DE-BY	27317155	9846173	9526036	7456168
DE-HB	1695389	617483	577084	440156
DE-HE	13349312	4884611	4532432	3598042
DE-HH	4352398	1600131	1489161	1138492
DE-MV	3386574	1212185	1155321	930700
DE-NI	18076291	6367164	5901248	5153689
DE-NW	40901713	14619856	13610402	11179862
DE-RP	8876010	3211668	2958162	2449173
DE-SH	6955694	2353013	2248277	2123016
DE-SL	2312665	818857	771038	656588
DE-SN	7279682	2669833	2544350	1982308
DE-ST	4419729	1609069	1529449	1206852
DE-TH	4083208	1499626	1421675	1106576
