code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4652102	1752561	1737357	1275134
DE-BE	7648022	2836530	2807619	2134305
DE-BUND	528440	201733	194641	140210
DE-BW	22114681	8190086	8191591	6214619
DE-BY	26178074	9700038	9770041	7213276
DE-HB	1596954	612085	602612	430457
DE-HE	12684916	4816820	4664151	3455932
DE-HH	4023332	1531440	1524799	1075541
DE-MV	3208056	1193936	1190606	889570
DE-NI	16943497	6259218	6175430	4943648
DE-NW	38327602	14375537	14072313	10699262
DE-RP	8413042	3169341	3058493	2352753
DE-SH	6509369	2336498	2337015	1970812
DE-SL	2198687	809676	804830	633752
DE-SN	7028222	2644005	2599111	1886752
DE-ST	4186725	1564961	1584335	1145624
DE-TH	3935677	1483432	1479418	1067361
