code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	7984811	5268129	2866480
DE-BY	9347226	6086217	3420126
DE-BE	2648337	1781670	915325
DE-BB	1760572	1180066	623983
DE-HB	542190	364524	192988
DE-HH	1275082	836798	467818
DE-HE	4443122	3017809	1501767
DE-MV	1224408	796437	450835
DE-NI	5763598	3924573	2021340
DE-NW	13695502	9108358	4915886
DE-RP	2949374	1953628	1053061
DE-SL	803949	511243	306390
DE-SN	2820287	1763700	1103176
DE-ST	1525020	1003756	563578
DE-SH	2232440	1488011	791866
DE-TH	1520959	990127	553566
