code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3137274	1604773	1550428
DE-BE	5203205	2570224	2489377
DE-BUND	373704	193952	186270
DE-BW	14781409	7469770	7289590
DE-BY	17587103	8846734	8614546
DE-HB	1095846	555454	538752
DE-HE	8631503	4395908	4196232
DE-HH	2736313	1389647	1352620
DE-MV	2156306	1092442	1061445
DE-NI	11291800	5793413	5555538
DE-NW	26142849	13322858	12716417
DE-RP	5723423	2928975	2759950
DE-SH	4312423	2167337	2098310
DE-SL	1483791	750281	728540
DE-SN	4791157	2417043	2331012
DE-ST	2801459	1423862	1393757
DE-TH	2680549	1332430	1303733
