code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4379186	1729885	1682710	1079036
DE-BE	7194844	2798179	2711173	1812958
DE-BUND	507188	200896	192365	122068
DE-BW	21024563	8086397	7933687	5482632
DE-BY	24727650	9576204	9459172	6195937
DE-HB	1506911	603004	582401	369421
DE-HE	11897407	4741346	4512394	2895006
DE-HH	3690206	1491488	1453637	852585
DE-MV	3015696	1177916	1154317	749242
DE-NI	15967413	6162063	5965780	4272348
DE-NW	36225000	14192354	13644888	9201102
DE-RP	7983531	3123833	2963948	2062575
DE-SH	6001134	2298131	2255867	1581776
DE-SL	2097961	800794	779886	566449
DE-SN	6604360	2606880	2516997	1581702
DE-ST	3892155	1540712	1526648	932710
DE-TH	3706940	1462691	1428441	909795
