code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2957028	1558948	1484178
DE-BE	4793608	2476661	2363027
DE-BUND	369430	192847	184519
DE-BW	13967446	7266631	6982441
DE-BY	16376897	8528242	8185348
DE-HB	1019747	538112	512627
DE-HE	8142607	4279352	4021677
DE-HH	2535889	1334133	1273958
DE-MV	2029242	1060298	1016155
DE-NI	10645211	5669009	5346924
DE-NW	24705019	13038667	12204306
DE-RP	5418222	2865215	2654746
DE-SH	4071992	2120476	2030047
DE-SL	1398309	731839	701056
DE-SN	4501110	2348080	2230302
DE-ST	2643273	1385128	1334235
DE-TH	2480797	1288170	1245872
