code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4456429	1736476	1695024	1137432
DE-BE	7321095	2809157	2730593	1909197
DE-BUND	515553	201135	193077	129482
DE-BW	21340884	8117098	7994215	5708400
DE-BY	25124486	9614097	9527892	6486525
DE-HB	1532572	605397	586618	388545
DE-HE	12111309	4762624	4541415	3058809
DE-HH	3768474	1499081	1464163	912951
DE-MV	3067783	1182058	1161724	789837
DE-NI	16213336	6188423	6006974	4450967
DE-NW	36792117	14241381	13742306	9623707
DE-RP	8096186	3136732	2981818	2144543
DE-SH	6145805	2310245	2273767	1696524
DE-SL	2125619	803414	785415	585990
DE-SN	6709315	2617017	2531296	1662315
DE-ST	3964292	1546854	1537788	987634
DE-TH	3761386	1467460	1437110	950913
