code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4438367	1734936	1692186	1123738
DE-BE	7293336	2806561	2726737	1887668
DE-BUND	514018	201086	192958	128115
DE-BW	21286135	8112070	7984553	5668204
DE-BY	25050654	9608522	9515308	6430777
DE-HB	1527782	605006	585811	384942
DE-HE	12079094	4759549	4537123	3033929
DE-HH	3751568	1497474	1460904	900832
DE-MV	3057052	1181206	1160119	781553
DE-NI	16161500	6183089	5997797	4413571
DE-NW	36674964	14231837	13723217	9534648
DE-RP	8076017	3134882	2978184	2129834
DE-SH	6122523	2307694	2270002	1679529
DE-SL	2120122	803005	784152	582155
DE-SN	6689580	2615157	2528436	1647285
DE-ST	3948149	1545564	1535271	975286
DE-TH	3748286	1466401	1434616	941344
