code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4818634	1760710	1643919	1328701
DE-BE	8076888	2908260	2764069	2227440
DE-BUND	533748	201893	189431	141781
DE-BW	23074665	8343795	7931040	6395167
DE-BY	27263055	9844750	9522173	7442215
DE-HB	1690554	617336	576827	439155
DE-HE	13309203	4883732	4530606	3591839
DE-HH	4338313	1599771	1488194	1134960
DE-MV	3373443	1211952	1154720	928448
DE-NI	18016152	6365969	5898587	5143288
DE-NW	40755912	14615667	13603315	11155754
DE-RP	8847662	3210983	2956772	2443117
DE-SH	6931117	2352588	2247346	2118627
DE-SL	2306777	818748	770766	655331
DE-SN	7265706	2669286	2543197	1977183
DE-ST	4408027	1608821	1528816	1203117
DE-TH	4075725	1499468	1421069	1103697
