code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	3059241	1591718	1532679
DE-BE	5028920	2536353	2448463
DE-BUND	371720	193583	185581
DE-BW	14460349	7401461	7208750
DE-BY	17070629	8729510	8492462
DE-HB	1063483	551541	531851
DE-HE	8410479	4352512	4144495
DE-HH	2657089	1373683	1330480
DE-MV	2100614	1081985	1048853
DE-NI	10974146	5750705	5482659
DE-NW	25551481	13237903	12581472
DE-RP	5593258	2909580	2730339
DE-SH	4210222	2152863	2080838
DE-SL	1444202	745014	720423
DE-SN	4648159	2392024	2300459
DE-ST	2724598	1408831	1372913
DE-TH	2580483	1317776	1286828
