code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4849720	1761798	1646150	1337695
DE-BE	8139684	2910550	2768468	2247383
DE-BUND	534531	201923	189491	142246
DE-BW	23181190	8348937	7939737	6418522
DE-BY	27398692	9848794	9532625	7479248
DE-HB	1705138	617815	577704	442140
DE-HE	13407413	4886511	4535806	3609072
DE-HH	4372072	1600846	1490544	1142863
DE-MV	3402830	1212629	1156268	934425
DE-NI	18160051	6369575	5905910	5168812
DE-NW	41122304	14626610	13622840	11225362
DE-RP	8944685	3217655	2963662	2477500
DE-SH	6989759	2353746	2249848	2130245
DE-SL	2320492	819050	771516	658370
DE-SN	7300784	2671013	2546493	1990277
DE-ST	4435639	1609577	1530619	1211972
DE-TH	4094059	1499926	1422717	1110647
