code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4317866	1724694	1674738	1030807
DE-BE	7109345	2791324	2698133	1747161
DE-BUND	499827	200674	191700	115594
DE-BW	20806230	8067800	7896570	5319443
DE-BY	24450049	9551061	9413802	5988435
DE-HB	1488455	601515	579825	354972
DE-HE	11711981	4723306	4491115	2748583
DE-HH	3641609	1488225	1447616	813053
DE-MV	2975931	1174812	1148692	718155
DE-NI	15768596	6142780	5936187	4121961
DE-NW	35807381	14155281	13581701	8882199
DE-RP	7880416	3114198	2950473	1982468
DE-SH	5937782	2293801	2248600	1530004
DE-SL	2077615	798688	776505	551529
DE-SN	6522917	2599470	2507229	1517347
DE-ST	3834472	1536417	1518357	887552
DE-TH	3667407	1459214	1422220	879858
