code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4718147	1758431	1750282	1322480
DE-BE	7761298	2852240	2830685	2209093
DE-BUND	531739	202079	195077	142728
DE-BW	22362466	8221886	8251726	6371191
DE-BY	26503800	9734533	9842752	7432136
DE-HB	1619437	615117	607943	444663
DE-HE	12878533	4836558	4704369	3589881
DE-HH	4104678	1543852	1543055	1126624
DE-MV	3259543	1198877	1201593	925248
DE-NI	17192364	6286370	6229396	5111784
DE-NW	38891757	14434392	14184110	11094694
DE-RP	8532693	3182362	3086197	2431862
DE-SH	6670557	2344155	2354800	2106769
DE-SL	2226414	811964	810705	653345
DE-SN	7145788	2655199	2623288	1969049
DE-ST	4258209	1571019	1600162	1195260
DE-TH	3992279	1489666	1492807	1104498
