code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BB	2759508	1475036	1369587
DE-BE	4420008	2354228	2161548
DE-BUND	356905	186575	175547
DE-BW	13064549	6883761	6532564
DE-BY	15308765	8080736	7591102
DE-HB	943368	504290	473483
DE-HE	7475749	4029119	3638805
DE-HH	2314658	1248623	1133275
DE-MV	1900834	1006569	943039
DE-NI	9853107	5351806	4847016
DE-NW	22776469	12268152	11163882
DE-RP	4993188	2688435	2432300
DE-SH	3734061	2010031	1835221
DE-SL	1297875	696575	637484
DE-SN	4198091	2210625	2071924
DE-ST	2460195	1310129	1235128
DE-TH	2336734	1227665	1166736
