code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	9979194	6108600	4104051
DE-BY	11671227	7002026	4919578
DE-BE	3269988	2024912	1317105
DE-BB	2129915	1327754	866602
DE-HB	669479	433656	256681
DE-HH	1628726	1001537	672886
DE-HE	5587851	3440696	2274464
DE-MV	1498216	894674	637780
DE-NI	7229819	4576147	2907575
DE-NW	17271028	10439920	7338287
DE-RP	3716728	2319201	1492920
DE-SL	991419	584568	430699
DE-SN	3370828	1943157	1490728
DE-ST	1899047	1155427	801798
DE-SH	2765632	1718537	1116154
DE-TH	1839714	1112692	759473
