code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	5453811	4145485	1325369
DE-BY	6593437	5144382	1452968
DE-BE	1775753	1287414	492067
DE-BB	1157375	836286	322428
DE-HB	368954	264857	105702
DE-HH	886306	682201	205219
DE-HE	3064159	2395533	668909
DE-MV	822031	644273	179251
DE-NI	3938852	3140579	813386
DE-NW	9201397	7227271	1980869
DE-RP	2042823	1487254	555569
DE-SL	544980	418912	126074
DE-SN	1981281	1345424	637716
DE-ST	1059860	799600	263871
DE-SH	1452535	1035502	418835
DE-TH	1074962	740441	334652
