code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4845493	1761608	1645808	1336471
DE-BE	8129013	2910147	2767657	2243458
DE-BUND	534308	201913	189476	142129
DE-BW	23169644	8348066	7938534	6415835
DE-BY	27382381	9848148	9531166	7474315
DE-HB	1702342	617745	577557	441574
DE-HE	13392929	4885973	4534928	3606348
DE-HH	4366687	1600649	1490123	1141642
DE-MV	3399312	1212524	1156060	933539
DE-NI	18138797	6368997	5904729	5165115
DE-NW	41069305	14625412	13620155	11215525
DE-RP	8935523	3217318	2963261	2475596
DE-SH	6980756	2353557	2249432	2128558
DE-SL	2318738	819002	771411	657978
DE-SN	7295614	2670740	2545977	1988257
DE-ST	4431193	1609412	1530228	1210512
DE-TH	4091568	1499822	1422531	1109474
