code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	3937858	3084030	853828
DE-BY	4767664	3786154	981510
DE-BE	1308174	952267	355907
DE-BB	831343	644240	187103
DE-HB	265730	200593	65137
DE-HH	659109	527133	131976
DE-HE	2196866	1704620	492246
DE-MV	597491	485297	112194
DE-NI	2850357	2282000	568357
DE-NW	6687097	5313732	1373365
DE-RP	1488697	1134694	354003
DE-SL	397024	309836	87188
DE-SN	1467209	1047705	419504
DE-ST	788444	622836	165608
DE-SH	1035249	777485	257764
DE-TH	808953	561630	247323
