code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4667133	1753925	1740580	1285605
DE-BE	7666270	2838846	2811562	2146322
DE-BUND	528905	201783	194718	140548
DE-BW	22168381	8197357	8205106	6247684
DE-BY	26249585	9708203	9788011	7258746
DE-HB	1601276	612752	603858	432893
DE-HE	12725066	4820717	4674338	3482040
DE-HH	4046354	1535526	1531493	1088057
DE-MV	3219453	1195379	1193273	896891
DE-NI	17006816	6268730	6189807	4983231
DE-NW	38468690	14389514	14102353	10796843
DE-RP	8443286	3173366	3066204	2371297
DE-SH	6561839	2338648	2341666	2016579
DE-SL	2205673	810326	806490	638445
DE-SN	7058022	2647434	2606026	1906223
DE-ST	4203671	1566437	1588381	1157051
DE-TH	3949211	1485467	1482952	1075369
