code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	3841214	1687229	1610585	654788
DE-BE	6373672	2727187	2637542	1134321
DE-BUND	457364	198427	189000	78059
DE-BW	18295519	7840339	7595954	3329844
DE-BY	21834984	9314378	9040765	3979526
DE-HB	1295561	584112	557435	201015
DE-HE	10379957	4595783	4349202	1682690
DE-HH	3219754	1451630	1408961	464573
DE-MV	2642828	1151885	1104284	451925
DE-NI	13887402	6011428	5754778	2550824
DE-NW	32091432	13803420	13153202	5936130
DE-RP	6991895	3042929	2849662	1264330
DE-SH	5226713	2242262	2176695	942184
DE-SL	1834154	780918	751944	349816
DE-SN	5826430	2530638	2412520	983538
DE-ST	3448022	1505312	1456253	593733
DE-TH	3268400	1420674	1365691	574255
