code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4854534	1761958	1646519	1339170
DE-BE	8150679	2911675	2769782	2250143
DE-BUND	534595	201925	189496	142283
DE-BW	23189865	8349885	7940833	6420535
DE-BY	27410565	9849188	9533573	7482627
DE-HB	1707678	617893	577812	442571
DE-HE	13419267	4886870	4536427	3611077
DE-HH	4376456	1600940	1490802	1143948
DE-MV	3406725	1212755	1156494	935366
DE-NI	18184064	6370137	5907017	5172480
DE-NW	41161794	14627552	13624650	11232422
DE-RP	8951184	3217850	2964043	2478930
DE-SH	7002779	2354063	2250406	2132515
DE-SL	2322000	819096	771607	658701
DE-SN	7306034	2671282	2547123	1992089
DE-ST	4440452	1609713	1530988	1213520
DE-TH	4096002	1499984	1422840	1111297
