code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal
DE-BW	7168382	4968953	2302252
DE-BY	8527417	5822053	2807784
DE-BE	2396070	1667396	761534
DE-BB	1572447	1064581	535497
DE-HB	492047	337413	167186
DE-HH	1165549	797951	386205
DE-HE	3991157	2856186	1180759
DE-MV	1101383	756027	359832
DE-NI	5172530	3705760	1592647
DE-NW	12347838	8674812	3867012
DE-RP	2660612	1802501	891136
DE-SL	721378	481413	247734
DE-SN	2602689	1655892	980315
DE-ST	1400625	967580	460184
DE-SH	2014509	1376517	671104
DE-TH	1402419	937840	480505
