code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4852009	1761881	1646323	1338450
DE-BE	8143658	2910748	2768822	2248575
DE-BUND	534547	201924	189491	142258
DE-BW	23186986	8349633	7940551	6419898
DE-BY	27406175	9849034	9533290	7481608
DE-HB	1706118	617862	577750	442322
DE-HE	13415174	4886755	4536204	3610296
DE-HH	4373969	1600904	1490692	1143399
DE-MV	3404648	1212700	1156387	934865
DE-NI	18169860	6369842	5906467	5170491
DE-NW	41148174	14627321	13624208	11230132
DE-RP	8949324	3217825	2963973	2478612
DE-SH	6995918	2353924	2250164	2131440
DE-SL	2321462	819085	771575	658580
DE-SN	7303504	2671195	2546862	1991312
DE-ST	4437659	1609647	1530809	1212625
DE-TH	4094925	1499951	1422784	1110939
