code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4864751	1720783	1629398	1394688
DE-BE	8191701	2889228	2754070	2299383
DE-BUND	535191	201941	189527	142576
DE-BW	23654264	8396692	7993834	6731090
DE-BY	27797554	9894217	9585632	7696201
DE-HB	1727816	619793	579901	448658
DE-HE	13717492	4925539	4569259	3786451
DE-HH	4473375	1603966	1497691	1213544
DE-MV	3447048	1217228	1160229	956992
DE-NI	18475207	6394723	5937470	5319799
DE-NW	41828865	14637594	13660350	11673391
DE-RP	9117053	3236755	2979665	2582438
DE-SH	7060584	2353526	2249763	2030118
DE-SL	2352080	822166	774276	675852
DE-SN	7350582	2676368	2550858	2013713
DE-ST	4495812	1617883	1533395	1245730
DE-TH	4134784	1506527	1429314	1127886
