code	vaccinationsTotal	peopleFirstTotal	peopleFullTotal	peopleBoosterTotal
DE-BB	4850794	1720315	1628618	1391241
DE-BE	8156249	2887554	2751305	2290009
DE-BUND	534792	201932	189507	142375
DE-BW	23587701	8391786	7988077	6716935
DE-BY	27716399	9891687	9581283	7679392
DE-HB	1718204	619544	579427	447116
DE-HE	13667267	4922771	4566505	3777234
DE-HH	4452704	1602301	1495607	1208467
DE-MV	3436917	1216897	1159631	954876
DE-NI	18396735	6393050	5934541	5308420
DE-NW	41667084	14633552	13654317	11649816
DE-RP	9089305	3235906	2978605	2577688
DE-SH	7029381	2353000	2248453	2025668
DE-SL	2345279	821980	773997	674785
DE-SN	7332085	2675444	2549118	2007994
DE-ST	4480683	1617289	1532385	1241327
DE-TH	4125733	1506104	1428702	1125316
